"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"Texas","",NA,NA,NA,"Senna orcuttii","https://services.itis.gov/?q=tsn:505167","Orcutt's senna","Plants","Species","Exact Match","Senna orcuttii"
"California","California",NA,NA,NA,"Cyprinodon salinus milleri","https://services.itis.gov/?q=tsn:913954","Cottonball Marsh pupfish","Fish","Subspecies","Exact Match","Cyprinodon salinus milleri"
"Wisconsin","Wisconsin",NA,NA,NA,"Oeneis chryxus","https://services.itis.gov/?q=tsn:188555","Chryxus Arctic","Insects","Species","Exact Match","Oeneis chryxus"
"Florida,North Carolina","North Carolina",NA,NA,NA,"Apalone spinifera aspera","https://services.itis.gov/?q=tsn:208683","Gulf Coast Spiny Softshell Turtle","Reptiles","Subspecies","Exact Match","Apalone spinifera aspera"
"Massachusetts,West Virginia","Vermont",NA,NA,NA,"Lygodium palmatum","https://services.itis.gov/?q=tsn:17985","American climbing fern","Plants","Species","Exact Match","Lygodium palmatum"
"West Virginia","",NA,NA,NA,"Plethodon cylindraceus","https://services.itis.gov/?q=tsn:208283","White-spotted Slimy Salamander","Amphibians","Species","Exact Match","Plethodon cylindraceus"
"Delaware,Maine,Maryland,New Jersey,Ohio,Rhode Island,West Virginia","Maine,Maryland,Rhode Island,West Virginia",NA,NA,NA,"Lanthus vernalis","https://services.itis.gov/?q=tsn:101769","Southern Pygmy Clubtail","Insects","Species","Exact Match","Lanthus vernalis"
"Arizona,Nebraska,Utah","Nebraska",NA,NA,NA,"Fossaria techella","https://services.itis.gov/?q=tsn:76521","A Freshwater Snail","Mollusks","Species","Exact Match","Fossaria techella"
"New Jersey,Pennsylvania,Rhode Island,Vermont,Virginia","Pennsylvania,Rhode Island,Vermont,Virginia",NA,NA,NA,"Ophiogomphus mainensis","https://services.itis.gov/?q=tsn:101739","Maine Snaketail","Insects","Species","Exact Match","Ophiogomphus mainensis"
"Missouri","Missouri",NA,NA,NA,"Wolffiella gladiata","https://services.itis.gov/?q=tsn:42608","Florida mudmidget","Plants","Species","Exact Match","Wolffiella gladiata"
"West Virginia","",NA,NA,NA,"Myosotis macrosperma","https://services.itis.gov/?q=tsn:31695","southern forget-me-not","Plants","Species","Exact Match","Myosotis macrosperma"
"Texas","",NA,NA,NA,"Limnephilus adapus","https://services.itis.gov/?q=tsn:116117","A caddisfly","Insects","Species","Exact Match","Limnephilus adapus "
"West Virginia","West Virginia",NA,NA,NA,"Zale calycanthata","https://services.itis.gov/?q=tsn:940700","Double-banded Zale","Insects","Species","Exact Match","Zale calycanthata"
"Oregon","",NA,NA,NA,"Capnia kersti",NA,"A Stonefly (no common name)","Other","Undetermined","Not Matched","Capnia kersti"
"Tennessee","","Resolved Taxon","Q2XM","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2XM","Eurybia schreberi","https://services.itis.gov/?q=tsn:513458","Schreber's aster","Plants","Species","Exact Match","Eurybia schreberi"
"South Carolina","","Species of Concern","Q1PS","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1PS","Solidago verna","https://services.itis.gov/?q=tsn:36319","springflowering goldenrod","Plants","Species","Exact Match","Solidago verna"
"Hawaii","Hawaii",NA,NA,NA,"Alectryon macrococcus var. auwahiensis","https://services.itis.gov/?q=tsn:184734","Hawai'i alectryon","Plants","Variety","Exact Match","Alectryon macrococcus var. auwahiensis"
"Hawaii","Hawaii",NA,NA,NA,"Schiedea spergulina","https://services.itis.gov/?q=tsn:505050","canyon schiedea","Plants","Species","Followed Accepted TSN","Schiedea spergulina, Schiedea spergulina var. leiopoda, Schiedea spergulina var. spergulina"
"Tennessee","Tennessee",NA,NA,NA,"Paravitrea andrewsae","https://services.itis.gov/?q=tsn:77202","high mountain supercoil","Mollusks","Species","Exact Match","Paravitrea andrewsae"
"Hawaii","Hawaii","Endangered","S007","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=S007","Asplenium dielmannii","https://services.itis.gov/?q=tsn:897130","Mann's island spleenwort","Plants","Species","Followed Accepted TSN","Asplenium diemannii, Diellia mannii"
"Tennessee","Pennsylvania,Tennessee",NA,NA,NA,"Anguispira cumberlandiana","https://services.itis.gov/?q=tsn:77385","Cumberland tigersnail","Mollusks","Species","Exact Match","Anguispira cumberlandiana"
"Missouri","Missouri","Species of Concern","Q25P","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q25P","Eurybia furcata","https://services.itis.gov/?q=tsn:513442","forked aster","Plants","Species","Exact Match","Eurybia furcata"
