"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","nsNationalStatus","nsStatusLastReviewed","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"Louisiana","Illinois",NA,NA,NA,"Unranked","Unknown","Catocala atocala","https://services.itis.gov/?q=tsn:938074","Nutmeg Underwing","Insects","Species","Exact Match","Catocala atocala"
"Arkansas,Connecticut,Delaware,Maryland,Massachusetts,West Virginia","Arkansas,Connecticut,Delaware,Maryland,Massachusetts,Rhode Island,West Virginia,Wisconsin",NA,NA,NA,"Secure","1997-09-01","Cicindela purpurea","https://services.itis.gov/?q=tsn:697730","Cow Path Tiger Beetle","Insects","Species","Exact Match","Cicindela purpurea"
"Louisiana","Louisiana",NA,NA,NA,"Imperiled","1996-02-19","Faxonella creaseri","https://services.itis.gov/?q=tsn:97420","Ouachita Fencing Crawfish","Crustaceans","Species","Exact Match","Faxonella creaseri"
"Texas","",NA,NA,NA,"Critically Imperiled","1999-09-14","Stygopyrgus bartonensis","https://services.itis.gov/?q=tsn:70711","Barton cavesnail","Mollusks","Species","Exact Match","Stygopyrgus bartonensis "
"Arkansas","",NA,NA,NA,NA,NA,"Eurycea spelaea western",NA,"Grotto Salamander ""western clade""","Other","Undetermined","Not Matched","Eurycea spelaea western"
"Florida,Louisiana,Texas","Florida,Louisiana,Puerto Rico,South Carolina,Texas",NA,NA,NA,"Unranked","Unknown","Epinephelus itajara","https://services.itis.gov/?q=tsn:167695","jewfish","Fish","Species","Fuzzy Match","Epinephelus itajara, Epinephalus itajara"
"Georgia,Tennessee","","Species of Concern","D01X","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=D01X","Vulnerable","2009-06-08","Eurycea aquatica","https://services.itis.gov/?q=tsn:173689","Dark-sided Salamander","Amphibians","Species","Exact Match","Eurycea aquatica"
"Arkansas,Oklahoma","Arkansas,Oklahoma",NA,NA,NA,"Vulnerable","1996-02-19","Orconectes menae","https://services.itis.gov/?q=tsn:97461","Mena Crayfish","Crustaceans","Species","Exact Match","Orconectes menae"
"West Virginia","",NA,NA,NA,"Secure","Unknown","Carex eburnea","https://services.itis.gov/?q=tsn:39581","bristleleaf sedge","Plants","Species","Exact Match","Carex eburnea"
"Alabama","",NA,NA,NA,"Critically Imperiled","2009-03-09","Cambarus laconensis","http://www.marinespecies.org/rest/AphiaRecordByAphiaID/885196","Lacon Exit Cave Crayfish","Crustaceans","Species","Exact Match","Cambarus laconensis"
"Oklahoma","",NA,NA,NA,"Imperiled","2002-10-08","Inflectarius edentatus","https://services.itis.gov/?q=tsn:567718","smooth-lip shagreen","Mollusks","Species","Fuzzy Match","Inflectarius edentatus, Inflectariusedentatus"
"South Carolina","Idaho,Ohio","Species of Concern","B0ES","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0ES","Secure (breeding)","1997-01-05","Passerina caerulea","https://services.itis.gov/?q=tsn:726198","Blue Grosbeak","Birds","Species","Exact Match","Guiraca caerulea, Passerina caerulea"
"Alabama,Kentucky,Tennessee,Virginia","Alabama,Kentucky,Tennessee,Virginia","Endangered","F01T","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F01T","Critically Imperiled","1998-12-15","Epioblasma capsaeformis","https://services.itis.gov/?q=tsn:80306","oyster mussel","Mollusks","Species","Exact Match","Epioblasma capsaeformis"
"California,Texas","Texas,Washington",NA,NA,NA,"Secure","1996-09-05","Antilocapra americana","https://services.itis.gov/?q=tsn:180717","pronghorn","Mammals","Species","Exact Match","Antilocapra americana"
"Alabama,Delaware,Florida,Georgia,Louisiana,Maine,Maryland,Minnesota,Mississippi,New Hampshire,New Jersey,North Carolina,North Dakota,Oklahoma,Rhode Island,Virginia,Wisconsin","Alabama,Illinois,Iowa,Louisiana,Maine,Minnesota,Mississippi,Montana,New Hampshire,New Jersey,North Carolina,North Dakota,Oklahoma,Texas,Virginia,Wisconsin",NA,NA,NA,"Vulnerable (breeding), Secure (non-breeding)","1996-05-01","Ammodramus nelsoni","https://services.itis.gov/?q=tsn:554031","Nelson's Sharp-tailed Sparrow","Birds","Species","Exact Match","Ammodramus nelsonii, Ammodramus nelsoni"
"Georgia,South Carolina","",NA,NA,NA,"Apparently Secure","Unknown","Rhynchospora harperi","https://services.itis.gov/?q=tsn:40176","Harper's beaksedge","Plants","Species","Exact Match","Rhynchospora harperi"
"North Carolina","",NA,NA,NA,"Secure (breeding), Secure (non-breeding)","1997-03-19","Chen caerulescens","https://services.itis.gov/?q=tsn:175038","Blue Goose","Birds","Species","Exact Match","Chen caerulescens"
"Georgia,Louisiana,South Carolina,Tennessee","Georgia","Resolved Taxon","Q1N4","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1N4","Vulnerable","Unknown","Schisandra glabra","https://services.itis.gov/?q=tsn:505051","bay starvine","Plants","Species","Exact Match","Schisandra glabra"
"Virginia","Virginia",NA,NA,NA,"Apparently Secure","2002-10-08","Ventridens pilsbryi","https://services.itis.gov/?q=tsn:77281","yellow dome","Mollusks","Species","Exact Match","Ventridens pilsbryi"
"Alabama,Florida","Florida",NA,NA,NA,"Vulnerable","2005-07-11","Utterbackia peggyae","https://services.itis.gov/?q=tsn:568433","Florida floater","Mollusks","Species","Exact Match","Utterbackia peggyae"
"Alabama,Tennessee","Alabama,Tennessee","Endangered","F00A","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F00A","Critically Imperiled","1997-09-05","Lampsilis virescens","https://services.itis.gov/?q=tsn:80008","Alabama lamp mussel","Mollusks","Species","Exact Match","Lampsilis virescens"
"Texas","",NA,NA,NA,NA,NA,"Andranthobius n. sp. TAC 1 ",NA,"A weevil","Other","Undetermined","Not Matched","Andranthobius n. sp. TAC 1 "
"Florida","",NA,NA,NA,"Unranked","Unknown","Typocerus fulvocinctus","https://services.itis.gov/?q=tsn:703379","Yellow-banded Typocerus Long-horned Beetle","Insects","Species","Exact Match","Typocerus fulvocinctus"
"West Virginia","",NA,NA,NA,"Apparently Secure","Unknown","Melothria pendula var. pendula","https://services.itis.gov/?q=tsn:529133","Guadeloupe cucumber","Plants","Variety","Exact Match","Melothria pendula var. pendula"
"South Carolina","Florida,South Carolina",NA,NA,NA,NA,NA,"Stomolophus meleagris","https://services.itis.gov/?q=tsn:51926","cannonball jellyfish","Other Invertebrates","Species","Exact Match","Stomolophus meleagris"
"Oklahoma","",NA,NA,NA,"Unranked","Unknown","Crosbyella spinturnix","https://services.itis.gov/?q=tsn:1014001","a cave harvestman","Arachnids","Species","Fuzzy Match","Crosbyella spinturnix, Crosbyellaspinturnix"
"Texas","Texas","Resolved Taxon","J025","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=J025","Critically Imperiled","2002-08-21","Cicurina porteri","https://services.itis.gov/?q=tsn:876225","no common name","Arachnids","Species","Exact Match","Cicurina porteri, Cicurina porteri (Gertsch)"
"Alabama","",NA,NA,NA,"Secure","1996-02-19","Procambarus paeninsulanus","https://services.itis.gov/?q=tsn:97546","Peninsula Crayfish","Crustaceans","Species","Exact Match","Procambarus paeninsulanus"
"Arizona,New Mexico,Texas","Arizona,California,Nevada,New Mexico,Texas",NA,NA,NA,"Vulnerable","2014-05-16","Lasiurus xanthinus","https://services.itis.gov/?q=tsn:552502","western yellow bat","Mammals","Species","Exact Match","Lasiurus xanthinus"
"Delaware,Maryland,North Carolina","",NA,NA,NA,"Vulnerable","2002-10-08","Oxyloma effusum","https://services.itis.gov/?q=tsn:76921","coastal-plain ambersnail","Mollusks","Species","Exact Match","Oxyloma effusum"
"Georgia,Louisiana,South Carolina,Tennessee","Georgia",NA,NA,NA,"Apparently Secure","Unknown","Helenium brevifolium","https://services.itis.gov/?q=tsn:36012","shortleaf sneezeweed","Plants","Species","Exact Match","Helenium brevifolium"
"Alabama,Kentucky,North Carolina,Tennessee,Virginia","Alabama,Kentucky,North Carolina,Tennessee,Virginia","Endangered","F00L","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F00L","Critically Imperiled","1997-10-01","Pegias fabula","https://services.itis.gov/?q=tsn:80352","little-wing pearly mussel","Mollusks","Species","Exact Match","Pegias fabula"
"Alabama,Indiana,Ohio,Tennessee","Alabama,Indiana,Tennessee","Endangered","F00M","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F00M","Critically Imperiled","1998-03-17","Plethobasus cicatricosus","https://services.itis.gov/?q=tsn:80227","white wartyback","Mollusks","Species","Exact Match","Plethobasus cicatricosus, Plethobasus  cicatricosus"
