"scientificname","commonname","taxonomicrank","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","change"
"Capnia nelsoni","Nelson’s snowfly","Unknown Taxonomic Rank","Legacy Match","Capnia nelsoni","Colorado","Colorado",1,1,0
"Caprimulgus carolinensis","Chuck-will''s-widow","Species","Exact Match","Caprimulgus carolinensis","Arkansas,Illinois,Kansas,Kentucky,Louisiana,Maryland,Michigan,Mississippi,Nebraska,New Jersey,North Carolina,Ohio,Tennessee,Texas,Virginia,West Virginia","Delaware,Florida,Iowa,Kentucky,Missouri,Nebraska,New Jersey,South Carolina,Tennessee,Texas",16,10,6
"Caprimulgus vociferus","Whip-Poor-Will","Species","Fuzzy Match","Caprimulgus vociferous,Caprimulgus vociferus","Arkansas,Connecticut,Delaware,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oklahoma,Rhode Island,Tennessee,Vermont,Virginia,West Virginia,Wisconsin","Delaware,Florida,Iowa,Kentucky,Michigan,Missouri,Nebraska,New Jersey,New York,Oklahoma,South Carolina,Tennessee,Vermont",26,13,13
"Cardamine bulbosa","Bulbous Bittercress","Species","Exact Match","Cardamine bulbosa","Nebraska,Vermont","Nebraska,Vermont",2,2,0
"Cardamine concatenata","Cut-leaf Toothwort","Species","Exact Match","Cardamine concatenata","Nebraska","Nebraska",1,1,0
"Cardamine parviflora","Small-flower Bitter Cress","Species","Exact Match","Cardamine parviflora,Cardamine parviflora var. arenicola","","Nebraska,Vermont",0,2,-2
"Cardamine pensylvanica","Pennslyvania Bittercress","Species","Exact Match","Cardamine pensylvanica","Nebraska","Nebraska",1,1,0
"Carex albursina","White Bear Sedge","Species","Exact Match","Carex albursina","Nebraska","Nebraska",1,1,0
"Carex annectens","Yellow-fruit Sedge","Species","Followed Accepted TSN","Carex brachyglossa","Nebraska","Nebraska",1,1,0
"Carex aquatilis var. substricta","Water Sedge","Variety","Exact Match","Carex aquatilis var. substricta","Missouri,Nebraska","Nebraska,West Virginia",2,2,0
"Carex aureolensis","Golden-fruit Sedge","Species","Exact Match","Carex aureolensis","","Nebraska",0,1,-1
"Carex bebbii","Bebb''s Sedge","Species","Exact Match","Carex bebbii","Nebraska","Nebraska",1,1,0
"Carex bushii","Bush''s Sedge","Species","Exact Match","Carex bushii","Nebraska","Massachusetts,Nebraska,Vermont,West Virginia",1,4,-3
