"scientificname","commonname","taxonomicrank","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","change"
"Hypopitys monotropa","Pinesap","Species","Followed Accepted TSN","Hypopitys lanuginosa,Monotropa hypopithys,Monotropa hypopitys","Nebraska","Louisiana,Nebraska,Vermont",1,3,-2
"Ichthyomyzon castaneus","Chestnut Lamprey","Species","Exact Match","Ichthyomyzon castaneus","Iowa,Kansas,Kentucky,Mississippi,Nebraska,North Dakota","Illinois,Iowa,Kansas,Kentucky,Mississippi,Nebraska,North Dakota",6,7,-1
"Ichthyomyzon unicuspis","Silver Lamprey","Species","Exact Match","Ichthyomyzon unicuspis,Icthyomyzon unicuspis","Illinois,Iowa,Nebraska,North Dakota,Ohio,Vermont,West Virginia","Illinois,Iowa,Nebraska,North Dakota,Ohio,Tennessee,Vermont,West Virginia",7,8,-1
"Icterus bullockii","Bullock's Oriole","Species","Exact Match","Icterus bullockii","Kansas,Oklahoma","Arizona,Kansas,Oklahoma",2,3,-1
"Icterus galbula","Baltimore Oriole","Species","Exact Match","Icterus galbula","Connecticut,Delaware,Kansas,Maine,New Jersey,Ohio,Rhode Island","Connecticut,Delaware,District of Columbia,Iowa,Kansas,Maine,New Jersey,South Carolina",7,8,-1
"Ictinia mississippiensis","Mississippi Kite","Species","Exact Match","Ictinia mississippiensis","Arizona,Arkansas,Florida,Illinois,Indiana,Kansas,Kentucky,Missouri,Nebraska,North Carolina,Tennessee,Texas","Arizona,Florida,Illinois,Indiana,Kansas,Kentucky,Nebraska,Tennessee,Texas",12,9,3
"Ictiobus niger","Black Buffalo","Species","Exact Match","Ictiobus niger","Iowa,Kansas,Kentucky,Michigan,Minnesota,Mississippi,Nebraska,Oklahoma,Pennsylvania,West Virginia,Wisconsin","Iowa,Kansas,Kentucky,Minnesota,Mississippi,Nebraska,Ohio,Oklahoma,West Virginia,Wisconsin",11,10,1
"Idionycteris phyllotis","Allen''s big-eared bat","Species","Exact Match","Idionycteris phyllotis","California,Colorado,Nevada,New Mexico,Utah","Arizona,Colorado,Nevada,Utah",5,4,1
"Ipomoea pandurata","Bigroot Morning-glory","Species","Exact Match","Ipomoea pandurata","Nebraska","Nebraska",1,1,0
"Ipomopsis aggregata ssp. weberi","Rabbit Ears gilia","Subspecies","Exact Match","Ipomopsis aggregata ssp. weberi","","Colorado",0,1,-1
"Ipomopsis globularis","Globe gilia","Species","Exact Match","Ipomopsis globularis","","Colorado",0,1,-1
"Ipomopsis polyantha","Pagosa skyrocket","Species","Exact Match","Ipomopsis polyantha","","Colorado",0,1,-1
"Iris missouriensis","Western Blue-Flag","Species","Exact Match","Iris missouriensis","Nebraska","Nebraska",1,1,0
"Ironoquia plattensis","Platte River Caddisfly","Species","Exact Match","Ironoquia plattensis","","Nebraska",0,1,-1
"Ischnura barberi","Desert Forktail","Species","Exact Match","Ischnura barberi","","Nebraska",0,1,-1
"Isoetes melanopoda ssp. melanopoda","Black-foot Quillwort","Subspecies","Fuzzy Match","Isoetes melanopoda ssp. malanopoda","","Nebraska",0,1,-1
"Iva axillaris","Poverty Sumpweed","Species","Followed Accepted TSN","Iva axillaris var. axillaris","","Nebraska",0,1,-1
"Ixobrychus exilis","Least Bittern","Species","Exact Match","Ixobrychus exilis,Ixobrychus  exilis","Alabama,Arkansas,California,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,Virgin Islands,West Virginia","Alabama,Arkansas,California,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",36,34,2
"Junco hyemalis","Dark-eyed Junco","Species","Exact Match","Junco hyemalis","Alaska,Connecticut,Maryland,Nebraska,Ohio,South Carolina","Maryland,Nebraska,South Carolina",6,3,3
"Junco hyemalis aikeni","White-winged Junco","Subspecies","Exact Match","Junco hyemalis aikeni","South Dakota","South Dakota",1,1,0
"Juncus acuminatus","tapering rush","Species","Exact Match","Juncus acuminatus","Vermont","Nebraska,Vermont",1,2,-1
"Juncus articulatus","Joint-Leaf Rush","Species","Exact Match","Juncus articulatus","Nebraska","Nebraska,West Virginia",1,2,-1
"Juncus effusus ssp. solutus","Soft Rush","Subspecies","Followed Accepted TSN","Juncus effusus var. solutus","","Nebraska",0,1,-1
"Juniperus horizontalis","Creeping Juniper","Species","Exact Match","Juniperus horizontalis","Nebraska,Vermont","Nebraska,Vermont",2,2,0
"Kinosternon flavescens","Yellow Mud Turtle","Species","Exact Match","Kinosternon flavescens","Arizona,Colorado,Illinois,Iowa,Missouri,Nebraska","Arizona,Colorado,Illinois,Iowa,Missouri",6,5,1
"Krigia caespitosa","Dwarf-Dandelion","Species","Exact Match","Krigia caespitosa,Krigia cespitosa","Nebraska","Nebraska",1,1,0
"Lachlania saskatchewanensis","A Mayfly","Species","Exact Match","Lachlania saskatchewanensis","Montana","Colorado",1,1,0
"Lagopus leucura altipetens","Southern white-tailed ptarmigan","Subspecies","Exact Match","Lagopus leucura altipetens","","Colorado",0,1,-1
"Lampropeltis calligaster","Prairie Kingsnake","Species","Exact Match","Lampropeltis calligaster","Florida,Iowa,Nebraska","Florida,Iowa,Nebraska",3,3,0
"Lampropeltis triangulum","Milksnake","Species","Exact Match","Lampropeltis triangulum,Lampropeltis triangulum (Cochise County),Lampropeltis t. triangulum","Delaware,Kansas,Minnesota,Montana,New Mexico,Ohio,South Carolina,Utah","Arizona,Colorado,Delaware,South Carolina",8,4,4
"Lampropeltis triangulum multistriata","Pale Milksnake","Subspecies","Exact Match","Lampropeltis triangulum multistriata","Wyoming","Wyoming",1,1,0
"Lampsilis cardium","Plain Pocketbook","Species","Exact Match","Lampsilis cardim,Lampsilis cardium","Kansas,Louisiana,Mississippi,Nebraska,Oklahoma,Wyoming","Kansas,Louisiana,Mississippi,Nebraska,New York,Oklahoma,West Virginia,Wyoming",6,8,-2
"Lampsilis higginsii","Higgins'' eye pearlymussel","Species","Fuzzy Match","Lampsilis higginsi,Lampsilis higginsii","Illinois,Iowa,Minnesota,Missouri,Nebraska,South Dakota,Wisconsin","Illinois,Iowa,Minnesota,Missouri,Nebraska,South Dakota,Wisconsin",7,7,0
"Lampsilis rafinesqueana","Neosho Mucket","Species","Exact Match","Lampsilis rafinesqueana","Arkansas,Kansas,Missouri,Oklahoma","Arkansas,Kansas,Missouri,Oklahoma",4,4,0
"Lampsilis siliquoidea","Fatmucket","Species","Exact Match","Lampsilis siliquoidea,Lampsilis  siliquoidea","Arkansas,Kansas,Louisiana,Mississippi,Nebraska,Wyoming","Iowa,Kansas,Louisiana,Mississippi,Nebraska,Tennessee,Wyoming",6,7,-1
"Lampsilis teres","Yellow sandshell","Species","Followed Accepted TSN","Lampsilis teres,Lampsilis teres anodontoides,Lampsilis teres teres","Florida,Iowa,Kansas,Minnesota,Nebraska,New York,Ohio,West Virginia,Wisconsin","Iowa,Kansas,Minnesota,Nebraska,Ohio,South Dakota,West Virginia,Wisconsin",9,8,1
"Lanius ludovicianus","Loggerhead Shrike","Species","Exact Match","Lanius ludovicianus,Lanius  ludovicianus","California,Colorado,Delaware,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Minnesota,Mississippi,Missouri,Montana,Nevada,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,South Carolina,Tennessee,Texas,Virginia,Washington,Wisconsin","Alabama,Arkansas,California,Colorado,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,South Carolina,Tennessee,Texas,Virginia,Washington,West Virginia,Wisconsin",32,34,-2
"Lasionycteris noctivagans","Silver-haired bat","Species","Fuzzy Match","Lasionycteris noctivagans,Lasionycteris  noctivagans,Lasionycteris noctivgans","Alaska,California,Connecticut,Delaware,Indiana,Louisiana,Maryland,Massachusetts,Michigan,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Pennsylvania,Rhode Island,Vermont,West Virginia,Wisconsin,Wyoming","Alaska,Connecticut,Delaware,District of Columbia,Idaho,Indiana,Iowa,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Mississippi,Missouri,Nevada,New Hampshire,New Jersey,New York,Ohio,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Vermont,Virginia,Washington,West Virginia,Wisconsin",23,29,-6
"Lasiurus borealis","Eastern Red Bat","Species","Exact Match","Lasiurus borealis","Connecticut,Delaware,District of Columbia,Florida,Indiana,Maryland,Massachusetts,Michigan,Montana,New Hampshire,New Jersey,New York,Ohio,Puerto Rico,Rhode Island,Vermont,West Virginia,Wisconsin","Connecticut,Delaware,District of Columbia,Indiana,Maine,Maryland,Massachusetts,Minnesota,New Hampshire,New Jersey,New York,Ohio,Rhode Island,South Carolina,Vermont,Virginia,West Virginia,Wyoming",18,18,0
"Lasiurus cinereus","Hoary Bat","Species","Exact Match","Lasiurus cinereus","California,Connecticut,Delaware,Florida,Indiana,Maryland,Massachusetts,Michigan,Mississippi,Montana,Nevada,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Rhode Island,Vermont,West Virginia,Wisconsin,Wyoming","Colorado,Connecticut,Delaware,District of Columbia,Idaho,Indiana,Maine,Maryland,Massachusetts,Minnesota,Mississippi,Nevada,New Hampshire,New Jersey,New York,Ohio,Oregon,Rhode Island,South Carolina,Vermont,Virginia,Washington,West Virginia",22,23,-1
"Lasmigona complanata","White Heelsplitter","Species","Fuzzy Match","Lasmigona camplanata,Lasmigona complanata,Lasmigona complanata complanata","Georgia,Kansas,Louisiana,Mississippi,New York,Pennsylvania,Tennessee,Texas,West Virginia,Wyoming","Iowa,Louisiana,Mississippi,Pennsylvania,Tennessee,West Virginia,Wyoming",10,7,3
"Lasmigona compressa","Creek Heelsplitter","Species","Exact Match","Lasmigona compressa","Illinois,Iowa,Kentucky,Michigan,Minnesota,North Dakota,Ohio,Pennsylvania,South Dakota,Vermont,West Virginia","Illinois,Iowa,Kentucky,Michigan,Minnesota,North Dakota,Ohio,Pennsylvania,South Dakota,Vermont,West Virginia",11,11,0
"Lasmigona costata","Flutedshell","Species","Exact Match","Lasmigona costata","Alabama,Arkansas,Georgia,Illinois,Iowa,Kansas,Minnesota,Vermont","Illinois,Iowa,Kansas,Michigan,Minnesota,Vermont,West Virginia",8,7,1
"Laterallus jamaicensis","Black Rail","Species","Exact Match","Laterallus jamaicensis,Laterallus  jamaicensis","Alabama,Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Kansas,Louisiana,Maryland,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Oklahoma,Puerto Rico,South Carolina,Texas,Virginia","Alabama,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Louisiana,Maryland,Mississippi,Missouri,New Jersey,New York,North Carolina,Oklahoma,South Carolina,Texas,Virginia",22,19,3
"Lathyrus ochroleucus","Yellow Vetchling","Species","Exact Match","Lathyrus ochroleucus","Nebraska,Vermont","Nebraska,Vermont",2,2,0
"Lathyrus palustris","Marsh Vetchling","Species","Exact Match","Lathyrus palustris","Nebraska,Vermont","Massachusetts,Nebraska,Tennessee,Vermont",2,4,-2
"Lechea mucronata","Hairy Pinweed","Species","Exact Match","Lechea mucronata","Nebraska,Vermont","Nebraska,Vermont",2,2,0
"Lechea stricta","Prairie Pinweed","Species","Exact Match","Lechea stricta","Nebraska","Nebraska",1,1,0
"Lechea tenuifolia","Narrow-leaf Pinweed","Species","Exact Match","Lechea tenuifolia","Nebraska","Nebraska,West Virginia",1,2,-1
"Leiothlypis virginiae","Virginia's Warbler","Species","Followed Accepted TSN","Oreothlypis virginiae,Vermivora virginiae","California,Colorado,Idaho,Nevada,Texas,Utah","Arizona,Colorado,Nevada,New Mexico",6,4,2
"Lemmiscus curtatus","Sagebrush Vole","Species","Exact Match","Lemmiscus curtatus","Nevada,North Dakota,Wyoming","Colorado,Nevada,North Dakota",3,3,0
"Lemna gibba","Inflated Duckweed","Species","Exact Match","Lemna gibba","Nebraska","Nebraska",1,1,0
"Lemna minuta","Least Duckweed","Species","Exact Match","Lemna minuta","Nebraska","Nebraska",1,1,0
"Lepidium crenatum","Alkaline pepperwort","Species","Exact Match","Lepidium crenatum","","Colorado",0,1,-1
"Lepidium huberi","Huber's pepperwork","Species","Exact Match","Lepidium huberi","","Colorado",0,1,-1
"Lepidium oblongum","Veiny Pepper-grass","Species","Exact Match","Lepidium oblongum","Nebraska","Nebraska",1,1,0
"Lepidomeda copei","Leatherside Chub","Species","Followed Accepted TSN","Gila copei,Lepidomeda copei","Idaho,Utah,Wyoming","Idaho,Utah,Wyoming",3,3,0
"Lepisosteus oculatus","Spotted Gar","Species","Fuzzy Match","Lepisosteus oculatus,Lespisosteus oculatus","Iowa,Kansas,Michigan,Ohio,Pennsylvania","Kansas,Ohio,Pennsylvania",5,3,2
"Lepisosteus platostomus","Shortnose Gar","Species","Exact Match","Lepisosteus platostomus","Alabama,Montana,Ohio","Alabama,Montana,Ohio",3,3,0
"Lepomis gulosus","Warmouth","Species","Exact Match","Lepomis gulosus","District of Columbia,Kansas,Maryland,Minnesota,Pennsylvania,West Virginia","Kansas,Minnesota,Pennsylvania,West Virginia",6,4,2
"Lepomis humilis","Orangespotted Sunfish","Species","Exact Match","Lepomis humilis","Colorado,West Virginia","Colorado,West Virginia",2,2,0
"Leptodea fragilis","Fragile Papershell","Species","Exact Match","Leptodea fragilis,Medionidus mcglameriae","Kansas,Mississippi,Pennsylvania,Vermont,Virginia,West Virginia","North Dakota,Pennsylvania,Vermont,Virginia,West Virginia",6,5,1
"Leptodea leptodon","Scaleshell","Species","Exact Match","Leptodea leptodon","Alabama,Arkansas,Kentucky,Michigan,Missouri,Nebraska,Oklahoma,South Dakota,Tennessee,Wisconsin","Alabama,Arkansas,Illinois,Kentucky,Missouri,Nebraska,Ohio,Oklahoma,South Dakota,Tennessee",10,10,0
"Leptophlebia konza","A Mayfly (From Ks.)","Species","Exact Match","Leptophlebia konza","Kansas","Kansas",1,1,0
"Lepus americanus","Snowshoe Hare","Species","Exact Match","Lepus americanus","Maryland,Michigan,North Carolina,Ohio,Tennessee,Virginia","Alaska,Colorado,Ohio,Vermont,West Virginia",6,5,1
"Lepus californicus","Black-tailed Jackrabbit","Species","Exact Match","Lepus californicus","Arkansas,Missouri,Montana,Nebraska,Washington","Arkansas,Missouri,Nebraska,Washington",5,4,1
"Lepus townsendii","White-tailed Jackrabbit","Species","Exact Match","Lepus townsendii","California,Colorado,Iowa,Kansas,Missouri,Nebraska,Oregon,Washington,Wisconsin","Colorado,Iowa,Minnesota,Nebraska,Oregon,Washington",9,6,3
"Lespedeza violacea","Violet Lespedeza","Species","Exact Match","Lespedeza violacea","Nebraska,Vermont","Nebraska",2,1,1
"Lestes alacer","Plateau Spreadwing","Species","Exact Match","Lestes alacer","","Colorado",0,1,-1
"Lethe anthedon anthedon","northern pearly eye","Subspecies","Followed Accepted TSN","Enodia anthedon","Pennsylvania,Rhode Island","Nebraska",2,1,1
"Leucophaeus pipixcan","Franklin''s Gull","Species","Exact Match","Larus pipixcan,Leucophaeus pipixcan","Idaho,Minnesota,Montana,Nevada,North Dakota,Oregon,Wyoming","Idaho,Iowa,Minnesota,North Dakota,Oregon,Texas,Wyoming",7,7,0
"Leucopoa kingii","Spike-fescue","Species","Exact Match","Leucopoa kingii","Nebraska","Nebraska",1,1,0
"Leucorrhinia glacialis","Crimson-ringed Whiteface","Species","Exact Match","Leucorrhinia glacialis","Connecticut,Maryland,Pennsylvania,Rhode Island,West Virginia","Colorado,Connecticut,Maryland,Minnesota,New Jersey,Pennsylvania,Rhode Island,West Virginia",5,8,-3
"Leucospora multifida","Narrowleaf Paleseed","Species","Exact Match","Leucospora multifida","Nebraska","Nebraska",1,1,0
"Leucosticte atrata","Black Rosy-Finch","Species","Exact Match","Leucosticte atrata","Colorado,Idaho,Montana,Nevada,Utah,Wyoming","Colorado,Idaho,Montana,Nevada,Utah",6,5,1
"Leucosticte australis","Brown-capped Rosy-Finch","Species","Exact Match","Leucosticte australis","Colorado,Wyoming","Colorado,New Mexico,Wyoming",2,3,-1
"Leucosticte tephrocotis","Gray-crowned Rosy-Finch","Species","Exact Match","Leucosticte tephrocotis","Alaska,Montana,Nevada","California,Montana,Nevada",3,3,0
"Leymus cinereus","Great Basin Wild-rye","Species","Exact Match","Leymus cinereus","","Nebraska",0,1,-1
"Liatris hirsuta","Plains Gayfeather","Species","Followed Accepted TSN","Liatris hirsuta,Liatris squarrosa var. hirsuta","Nebraska","Nebraska",1,1,0
"Liatris ligulistylis","Rocky Mountain Gayfeather","Species","Exact Match","Liatris ligulistylis","Nebraska","Nebraska",1,1,0
"Liatris pycnostachya var. pycnostachya","Thick-spike Gayfeather","Variety","Exact Match","Liatris pycnostachya var. pycnostachya","","Nebraska",0,1,-1
"Libellula composita","Bleached Skimmer","Species","Exact Match","Libellulacomposita,Libellula composita,Libellula omposite","Kansas,New Mexico","Kansas,Oklahoma",2,2,0
"Libellula nodisticta","Hoary skimmer","Species","Exact Match","Libellula nodisticta","Colorado","Colorado",1,1,0
"Ligumia recta","Black Sandshell","Species","Exact Match","Ligumia recta","Alabama,Arkansas,Georgia,Illinois,Kansas,Louisiana,Michigan,Minnesota,Mississippi,Missouri,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,Tennessee,Vermont,Virginia,West Virginia","Alabama,Illinois,Iowa,Louisiana,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New York,Ohio,Oklahoma,Tennessee,Vermont,Virginia,West Virginia",19,16,3
"Ligumia subrostrata","Pondmussel","Species","Exact Match","Ligumia subrostrata","Iowa,Kansas,Nebraska","Iowa,Minnesota,Nebraska",3,3,0
"Limenitis weidemeyerii","Weidemeyer''s Admiral","Species","Exact Match","Limenitis weidemeyerii","","Nebraska",0,1,-1
"Limnodromus scolopaceus","Long-billed Dowitcher","Species","Exact Match","Limnodromus scolopaceus","Kansas,Nevada,South Carolina","Alaska,Florida,Iowa,Kansas,Nevada,South Carolina",3,6,-3
"Limosa fedoa","Marbled Godwit","Species","Exact Match","Limosa fedoa","Alaska,Colorado,Delaware,Florida,Georgia,Iowa,Kansas,Louisiana,Minnesota,Mississippi,New Jersey,New York,North Dakota,South Carolina,South Dakota,Tennessee,Texas,Virginia,Washington,Wisconsin","Delaware,Florida,Iowa,Kansas,Louisiana,Minnesota,Mississippi,New Jersey,North Carolina,North Dakota,South Carolina,South Dakota,Tennessee,Virginia,Washington",20,15,5
"Limosa haemastica","Hudsonian Godwit","Species","Exact Match","Limosa haemastica","Alaska,Arkansas,Delaware,Iowa,Kansas,Minnesota,New Jersey,New York,Oklahoma,Tennessee,Texas,Virginia,Wisconsin","Alaska,Delaware,Iowa,Kansas,Louisiana,Minnesota,New Jersey,Oklahoma,Tennessee,Texas",13,10,3
"Linanthus caespitosus","Matted Prickly-Phlox","Species","Exact Match","Linanthus caespitosus,Linanthus caespitosus 10,Linanthus caespitosus 9","Nebraska","Nebraska",1,1,0
"Lintneria eremitoides","Sage Sphinx","Species","Followed Accepted TSN","Lintneria eremitoides,Sphinx eremitoides","Kansas,Texas","Kansas,Texas",2,2,0
"Linum berlandieri var. berlandieri","Berlandier''s Flax","Variety","Exact Match","Linum berlandieri var. berlandieri","","Nebraska",0,1,-1
"Linum lewisii var. lewisii","Western Prairie Flax","Variety","Exact Match","Linum lewisii var. lewisii","","Nebraska,West Virginia",0,2,-2
"Liparis loeselii","Loesel''s Twayblade","Species","Exact Match","Liparis loeselii","Missouri,Nebraska","Georgia,Massachusetts,Missouri,Nebraska,Tennessee,West Virginia",2,6,-4
"Lithobates areolatus","Crawfish Frog","Species","Fuzzy Match","Lithobates areolata,Lithobates areolatus,Lithobates (Rana) areolata","","Alabama,Arkansas,Illinois,Indiana,Iowa,Kansas,Mississippi,Oklahoma,Tennessee,Texas",0,10,-10
"Lithobates blairi","Plains leopard frog","Species","Exact Match","Lithobates blairi,Lithobates  blairi,Rana blairi","Arizona,Colorado,Indiana,New Mexico","Arizona,Colorado,Indiana,Missouri,New Mexico",4,5,-1
"Lithobates clamitans","Green Frog","Species","Exact Match","Lithobates clamitans","","District of Columbia,Kansas",0,2,-2
"Lithobates pipiens","Northern Leopard Frog","Species","Followed Accepted TSN","Lithobates pipiens,Lithobates pipiens (R. pipiens),Rana pipiens,Rana pipiens (Intermountain valleys)","Arizona,California,Colorado,Connecticut,Idaho,Indiana,Kentucky,Massachusetts,Michigan,Missouri,Montana,Nevada,New Hampshire,New Mexico,Ohio,Oregon,Rhode Island,Utah,Washington,West Virginia,Wyoming","Arizona,California,Colorado,Connecticut,Idaho,Indiana,Iowa,Kentucky,Maine,Massachusetts,Montana,Nevada,New Hampshire,New Mexico,Pennsylvania,Rhode Island,Utah,Washington,West Virginia,Wyoming",21,20,1
"Lithobates sylvaticus","Wood Frog","Species","Followed Accepted TSN","Lithobates sylvatica,Lithobates sylvaticus,Rana sylvatica,Rana sylvatica [Lithobates sylvaticus] pop.3","Alaska,Arkansas,Colorado,Connecticut,District of Columbia,Idaho,Illinois,Kentucky,Missouri,Ohio,Rhode Island,South Carolina,Wyoming","Alabama,Alaska,Arkansas,Colorado,Connecticut,Delaware,District of Columbia,Kentucky,Missouri,North Carolina,Ohio,Rhode Island,South Carolina,Wyoming",13,14,-1
"Lithophragma parviflorum","Small-flower Prairie-star","Species","Fuzzy Match","Lithophragma parviflora","Nebraska","Nebraska",1,1,0
"Lobelia cardinalis","Cardinal Flower","Species","Exact Match","Lobelia cardinalis","Nebraska","Nebraska",1,1,0
"Lobelia inflata","Indian-tobacco","Species","Exact Match","Lobelia inflata","Nebraska","Nebraska",1,1,0
"Loeflingia squarrosa","Spreading Pygmyleaf","Species","Exact Match","Loeflingia squarrosa,Loeflingia squarrosa var. texana","","Louisiana,Nebraska",0,2,-2
"Lomatium concinnum","Colorado desert-parsley","Species","Exact Match","Lomatium concinnum","","Colorado",0,1,-1
"Lomatium latilobum","Canyonlands aletes","Species","Followed Accepted TSN","Aletes latilobus","","Colorado",0,1,-1
"Lomatium nuttallii","Dog-parsley","Species","Exact Match","Lomatium nuttallii","Nebraska","Nebraska",1,1,0
"Lontra canadensis","River Otter","Species","Exact Match","Lontra canadensis,Lutra canadensis","Colorado,District of Columbia,Illinois,Indiana,Iowa,Nebraska,Nevada,New Jersey,New Mexico,New York,North Dakota,Ohio,Oklahoma,South Dakota,Texas,Utah,Vermont,Wyoming","Colorado,District of Columbia,Nebraska,Nevada,New Mexico,North Dakota,South Dakota,Texas,Vermont,Wyoming",18,10,8
"Lota lota","Burbot","Species","Exact Match","Lota lota","Connecticut,Idaho,Iowa,Kentucky,Maine,Massachusetts,New Hampshire,Ohio,Pennsylvania,Wyoming","Alaska,Connecticut,Idaho,Illinois,Iowa,Kentucky,Maine,Massachusetts,Nebraska,New Hampshire,North Dakota,Ohio,Pennsylvania,Washington,Wyoming",10,15,-5
"Ludwigia alternifolia","Bushy Seedbox","Species","Exact Match","Ludwigia alternifolia","Nebraska","Nebraska",1,1,0
"Ludwigia peploides ssp. glabrescens","Floating Primrose-willow","Subspecies","Followed Accepted TSN","Ludwigia peploides var. glabrescens","","Nebraska",0,1,-1
"Lupinus crassus","Payson lupine","Species","Exact Match","Lupinus crassus","","Colorado",0,1,-1
"Luxilus cardinalis","Cardinal Shiner","Species","Exact Match","Luxilus cardinalis","Kansas,Oklahoma","Kansas,Missouri,Oklahoma",2,3,-1
"Luxilus chrysocephalus","Striped Shiner","Species","Fuzzy Match","Luxilis chrysocephalus,Luxilus chrysocephalus","Maryland,Michigan,North Carolina,Wisconsin","Florida,Kansas,Maryland,Wisconsin",4,4,0
"Luxilus cornutus","Common Shiner","Species","Exact Match","Luxilus cornutus","Colorado,Connecticut,Kansas,Massachusetts,Nebraska,Rhode Island,West Virginia,Wyoming","Colorado,Connecticut,Kansas,Massachusetts,Missouri,Nebraska,Rhode Island,West Virginia,Wyoming",8,9,-1
"Lycaena helloides","Purplish Copper","Species","Exact Match","Lycaena helloides","Illinois,Iowa,Ohio","Iowa,Nebraska,Ohio",3,3,0
"Lycaena phlaeas","American Copper","Species","Exact Match","Lycaena phlaeas","","Nebraska",0,1,-1
"Lycaena rubidus","Ruddy Copper","Species","Fuzzy Match","Lycaena rubida","","Nebraska",0,1,-1
"Lygodesmia grandiflora var. doloresensis","Dolores River skeletonplant","Variety","Followed Accepted TSN","Lygodesmia doloresensis","","Colorado",0,1,-1
"Lynx canadensis","Canada Lynx","Species","Exact Match","Lynx canadensis","Colorado,Idaho,Maine,Michigan,Minnesota,Montana,New Hampshire,New York,Utah,Vermont,Washington,Wyoming","Colorado,Maine,Minnesota,New Hampshire,Utah,Vermont,Washington,Wyoming",12,8,4
"Lysimachia maritima","Sea-Milkwort","Species","Followed Accepted TSN","Glaux maritima,Lysimachia maritima","Nebraska","Nebraska",1,1,0
"Lysimachia maxima","Chaffweed","Species","Fuzzy Match","Lysimachia maxima,Lysimachia minima","Hawaii","Hawaii,Nebraska",1,2,-1
"Macdunnoa persimplex","A Flat-headed Mayfly","Species","Exact Match","Macdunnoa persimplex","Wisconsin","Colorado,Wisconsin",1,2,-1
"Macrhybopsis gelida","Sturgeon Chub","Species","Exact Match","Macrhybopsis gelida","Arkansas,Illinois,Iowa,Kansas,Kentucky,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee,Wyoming","Illinois,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee,Wyoming",13,13,0
"Macrhybopsis hyostoma","Shoal Chub","Species","Exact Match","Macrhybopsis hyostoma,Macrhybopsis hyostomus","Georgia,Kansas,West Virginia,Wisconsin","Alabama,Arkansas,Illinois,Iowa,Kansas,Louisiana,Ohio,West Virginia,Wisconsin",4,9,-5
"Macrhybopsis meeki","Sicklefin Chub","Species","Exact Match","Macrhybopsis meeki","Arkansas,Illinois,Iowa,Kansas,Kentucky,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee",12,13,-1
"Macrhybopsis storeriana","Silver Chub","Species","Exact Match","Macrhybopsis storeriana,Macryhbopsis storeriana","Kansas,Michigan,Missouri,New York,North Dakota,Ohio,Pennsylvania,Texas,West Virginia","Kansas,Michigan,Missouri,North Dakota,Ohio,Texas,West Virginia",9,7,2
"Macrhybopsis tetranema","Peppered chub","Species","Exact Match","Macrhybopsis aestivalis tetranemus,Macrhybopsis tetranema,Macrhyhopsis tetranema","Kansas,New Mexico,Oklahoma,Texas","Kansas,New Mexico,Texas",4,3,1
