"scientificname","Family","Common name","acceptedauthorityapi","scientificnames_submitted","statelist_2005","statelist_2015"
"Lythrurus lirus","Cyprinidae","mountain shiner","http://services.itis.gov/?q=tsn:163855","Lythrurus lirus","Georgia,Virginia","Georgia"
"Lythrurus snelsoni","Cyprinidae","Ouachita shiner","http://services.itis.gov/?q=tsn:163859","Lythrurus snelsoni,Lythurus snelsoni","Arkansas,Oklahoma","Arkansas,Oklahoma"
"Macrhybopsis hyostoma","Cyprinidae","shoal chub","http://services.itis.gov/?q=tsn:553280","Macrhybopsis hyostoma,Macrhybopsis hyostomus","Georgia,Kansas,West Virginia,Wisconsin","Alabama,Arkansas,Illinois,Iowa,Kansas,Louisiana,Ohio,West Virginia,Wisconsin"
"Micropterus notius","Centrarchidae","Suwanne Bass","http://services.itis.gov/?q=tsn:168164","Micropterus notius","Florida,Georgia","Florida,Georgia"
"Morone americana","Moronidae","white perch","http://services.itis.gov/?q=tsn:167678","Morone americana","","Rhode Island"
"Morone chrysops","Moronidae","white bass",NA,NA,NA,NA
"Morone mississippiensis","Moronidae","yellow bass","http://services.itis.gov/?q=tsn:167683","Morone mississippiensis","Minnesota","Minnesota"
"Moxostoma ariommum","Catostomidae","bigeye jumprock","http://services.itis.gov/?q=tsn:163934","Moxostoma ariommum,Scartomyzon ariommus","North Carolina,Virginia","North Carolina,Virginia"
"Moxostoma duquesnei","Catostomidae","black redhorse",NA,NA,NA,NA
"Moxostoma robustum","Catostomidae","robust redhorse","http://services.itis.gov/?q=tsn:163945","Moxostoma robustum","Georgia,North Carolina,South Carolina,Virginia","Georgia,North Carolina,South Carolina"
"Mylocheilus caurinus","Cyprinidae","peamouth",NA,NA,NA,NA
"Mylopharodon conocephalus","Cyprinidae","hardhead","http://services.itis.gov/?q=tsn:163587","Mylopharodon conocephalus","California","California"
"Nocomis effusus","Cyprinidae","redtail chub",NA,NA,NA,NA
"Notropis alborus","Cyprinidae","whitemouth shiner","http://services.itis.gov/?q=tsn:163422","Notropis alborus","South Carolina,Virginia","South Carolina,Virginia"
"Notropis cahabae","Cyprinidae","Cahaba shiner","http://services.itis.gov/?q=tsn:163480","Notropis cahabae","Alabama","Alabama"
"Notropis chlorocephalus","Cyprinidae","greenhead shiner","http://services.itis.gov/?q=tsn:163436","Notropis chlorocephalus","South Carolina",""
"Notropis photogenis","Cyprinidae","silver shiner","http://services.itis.gov/?q=tsn:163461","Notropis photogenis","Georgia,Michigan,North Carolina","Georgia,Michigan"
"Notropis scepticus","Cyprinidae","sandbar shiner","http://services.itis.gov/?q=tsn:163465","Notropis scepticus","Georgia","Georgia,South Carolina"
"Notropis wickliffi","Cyprinidae","channel shiner","http://services.itis.gov/?q=tsn:163491","Notropis wickliffi","","Arkansas,Iowa"
"Noturus albater","Ictaluridae","Ozark matdom",NA,NA,NA,NA
"Noturus eleutherus","Ictaluridae","Mountain Madtom","http://services.itis.gov/?q=tsn:164009","Noturus eleutherus","Alabama,Georgia,Illinois,Missouri,North Carolina,Ohio,Oklahoma,Pennsylvania,Virginia,West Virginia","Alabama,Georgia,Illinois,Missouri,North Carolina,Ohio,Oklahoma,Pennsylvania,Virginia,West Virginia"
"Noturus leptacanthus","Ictaluridae","Speckled Madtom",NA,NA,NA,NA
"Noturus placidus","Ictaluridae","Neosho Madtom","http://services.itis.gov/?q=tsn:164023","Noturus placidus","Kansas,Missouri,Oklahoma","Kansas,Missouri,Oklahoma"
"Opsopoeodus emiliae","Cyprinidae","pugnose minnow","http://services.itis.gov/?q=tsn:163876","Opsopoeodus emilae,Opsopoeodus emiliae","Illinois,Iowa,Michigan,Minnesota,Missouri,Ohio,South Carolina","Illinois,Iowa,Michigan,Minnesota,Ohio"
"Oregonichthys crameri","Cyprinidae","Oregon chub","http://services.itis.gov/?q=tsn:163879","Oregonichthys crameri","Oregon","Oregon"
"Percina aurora","Percidae","pearl darter","http://services.itis.gov/?q=tsn:553383","Percina aurora","Louisiana,Mississippi","Louisiana,Mississippi"
"Percina copelandi","Percidae","channel darter","http://services.itis.gov/?q=tsn:168480","Percina copelandi","Indiana,Kansas,Louisiana,Michigan,Missouri,Ohio,Pennsylvania,Vermont,Virginia,West Virginia","Indiana,Kansas,Louisiana,Michigan,Missouri,Ohio,Vermont,Virginia,West Virginia"
"Percina gymnocephala","Percidae","Appalachia darter","http://services.itis.gov/?q=tsn:168484","Percina gymnocephala","Virginia,West Virginia","North Carolina,Virginia,West Virginia"
"Percina sciera","Percidae","dusky darter","http://services.itis.gov/?q=tsn:168475","Percina sciera","Georgia,Virginia,West Virginia","Georgia,Ohio,Virginia,West Virginia"
"Percopsis omiscomaycus","Percopsidae","trout-perch","http://services.itis.gov/?q=tsn:164409","Percopisis omiscomaycus,Percopsis omiscomaycus","Alaska,Illinois,Indiana,Iowa,Maryland,Missouri,Montana,Nebraska,North Dakota,South Dakota,Virginia","Alaska,Illinois,Indiana,Iowa,Missouri,Montana,Nebraska,North Dakota,South Dakota"
"Percopsis transmontana","Percopsidae","sand roller","http://services.itis.gov/?q=tsn:164410","Percopsis transmontana","Idaho",""
"Phenacobius uranops","Cyprinidae","stargazing minnow","http://services.itis.gov/?q=tsn:163506","Phenacobius uranops","Alabama,Georgia,Kentucky,Virginia","Alabama,Georgia,Kentucky"
"Pimephales tenellus","Cyprinidae","slim minnow",NA,NA,NA,NA
"Pimephales vigilax","Cyprinidae","bullhead minnow","http://services.itis.gov/?q=tsn:163518","Pimephales vigilax","Virginia,West Virginia","Virginia,West Virginia"
"Polyodon spathula","Polyodontidae","paddlefish","http://services.itis.gov/?q=tsn:161088","Polydon spathula,Polyodon spathula","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Montana,Nebraska,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,South Dakota,Tennessee,Texas,Virginia,West Virginia,Wisconsin","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Missouri,Montana,Nebraska,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,Tennessee,Texas,Virginia,West Virginia,Wisconsin"
