"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","nsNationalStatus","nsStatusLastReviewed","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"California,Colorado,Florida,Idaho,Iowa,Kansas,Minnesota,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Texas,Utah,Washington,Wyoming","California,Idaho,Iowa,Kansas,Minnesota,Montana,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Texas,Utah,Washington,Wyoming","Species of Concern","B0NC","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0NC","Apparently Secure (breeding), Apparently Secure (non-breeding)","1997-01-05","Athene cunicularia","https://services.itis.gov/?q=tsn:177946","Burrowing Owl","Birds","Species","Exact Match","Speotyto cunicularia, Athene cunicularia, Athene cunicularia "
"Connecticut,Delaware,Illinois,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Vermont,Virginia,Wisconsin","Alaska,Connecticut,Delaware,Illinois,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Montana,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Vermont,Virginia,Wisconsin","Species of Concern","B09G","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B09G","Secure (breeding)","1997-01-05","Sterna hirundo","https://services.itis.gov/?q=tsn:176888","Common Tern","Birds","Species","Exact Match","Sterna hirundo"
"Alabama,Arkansas,Illinois,Indiana,Iowa,Kansas,Kentucky,Michigan,Minnesota,Mississippi,Missouri,Ohio,Pennsylvania,Tennessee,Virginia,West Virginia,Wisconsin","Alabama,Arkansas,Illinois,Indiana,Kansas,Kentucky,Michigan,Minnesota,Mississippi,Missouri,New York,Ohio,Pennsylvania,Tennessee,Virginia,West Virginia,Wisconsin","Endangered","F03J","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F03J","Vulnerable","1998-03-17","Epioblasma triquetra","https://services.itis.gov/?q=tsn:80345","snuffbox","Mollusks","Species","Exact Match","Epioblasma triquetra, Epioblasma triquetra "
"Arkansas,Louisiana,Missouri","Arkansas,Missouri","Species of Concern","E05U","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E05U","Vulnerable","1996-12-05","Percina uranidea","https://services.itis.gov/?q=tsn:168500","stargazing darter","Fish","Species","Exact Match","Percina uranidea , Percina uranidea"
"Arkansas,Illinois,Missouri","Arkansas,Illinois,Missouri","Under Review in the Candidate or Petition Process","D00U","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=D00U",NA,NA,"Pseudacris illinoensis","https://services.itis.gov/?q=tsn:662726","Illinois Chorus Frog","Amphibians","Species","Followed Accepted TSN","Pseudacris illinoensis, Pseudacris streckeri illinoensis"
"Texas","Texas","Under Review in the Candidate or Petition Process","G04G","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=G04G","Critically Imperiled","2000-06-26","Phreatodrobia imitata","https://services.itis.gov/?q=tsn:70693","mimic cavesnail","Mollusks","Species","Exact Match","Phreatodrobia imitata, Phreatodrobia imitata "
"Texas","","Species of Concern","Q06N","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q06N","Imperiled","Unknown","Astragalus mollissimus var. marcidus","https://services.itis.gov/?q=tsn:192642","withered wooly milk-vetch","Plants","Variety","Exact Match","Astragalus mollissimus var. marcidus"
"Texas","","Under Review in the Candidate or Petition Process","Q1BR","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1BR","Critically Imperiled","Unknown","Paronychia congesta","https://services.itis.gov/?q=tsn:20328","bushy whitlow-wort","Plants","Species","Exact Match","Paronychia congesta"
"Delaware,Maryland,Virginia","Delaware,Maryland,Pennsylvania,Virginia","Recovery","A00B","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A00B","Vulnerable","1996-09-05","Sciurus niger cinereus","https://services.itis.gov/?q=tsn:202358","Delmarva Peninsula fox squirrel","Mammals","Subspecies","Exact Match","Sciurus niger cinereus"
"Florida","Florida","Under Review in the Candidate or Petition Process","C042","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=C042","Critically Imperiled","1996-10-05","Tantilla oolitica","https://services.itis.gov/?q=tsn:174284","Rim Rock Crowned Snake","Reptiles","Species","Exact Match","Tantilla oolitica , Tantilla oolitica"
"Delaware,Georgia,Maryland,New Jersey,North Carolina,Virginia","Delaware,Maryland,New Jersey,Virginia","Under Review in the Candidate or Petition Process","I013","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I013","Imperiled","1998-09-01","Problema bulenta","https://services.itis.gov/?q=tsn:706658","Rare Skipper","Insects","Species","Exact Match","Problema bulenta"
"Arizona,Texas","California,Texas,Utah","Species of Concern","A0HA","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A0HA","Apparently Secure","2014-06-17","Myotis yumanensis","https://services.itis.gov/?q=tsn:180004","Yuma myotis","Mammals","Species","Exact Match","Myotis yumanensis"
"Alabama,Illinois,Indiana,Kentucky,Ohio,Pennsylvania,Tennessee","Alabama,Illinois,Indiana,Kentucky,Tennessee","Endangered","F00R","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F00R","Critically Imperiled","1998-03-17","Plethobasus cooperianus","https://services.itis.gov/?q=tsn:80228","orange-footed pearly mussel","Mollusks","Species","Exact Match","Plethobasus cooperianus, Plethobasus  cooperianus"
"Illinois,Indiana,Iowa,Maine,Massachusetts,Michigan,Minnesota,Missouri,Nebraska,New Hampshire,New York,Ohio,Pennsylvania,Wisconsin","Illinois,Indiana,Iowa,Maine,Massachusetts,Michigan,Minnesota,Missouri,Nebraska,New Hampshire,New York,Ohio,Pennsylvania,South Dakota,Wisconsin","Under Review in the Candidate or Petition Process","C05M","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=C05M","Apparently Secure","1996-10-05","Emydoidea blandingii","https://services.itis.gov/?q=tsn:173789","Blanding's Turtle","Reptiles","Species","Exact Match","Emys blandingii, Emydoidea blandingii, Emydoidea blandingii "
"Florida","","Species of Concern","I0EI","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0EI","Critically Imperiled","2009-05-11","Asaphomyia floridensis","https://services.itis.gov/?q=tsn:130956","Florida Asaphomyian Tabanid Fly","Insects","Species","Exact Match","Asaphomyia floridensis"
"Georgia,South Carolina","Georgia","Under Review in the Candidate or Petition Process","Q085","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q085","Imperiled","Unknown","Balduina atropurpurea","https://services.itis.gov/?q=tsn:36804","purpledisk honeycombhead","Plants","Species","Exact Match","Balduina atropurpurea"
