"scientificname","commonname","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","listingStatus","kingdom","phylum","class"
"Ranunculus recurvatus var. recurvatus","Hooked Buttercup","Exact Match","Ranunculus recurvatus var. recurvatus","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Ranunculus rhomboideus","Prairie Buttercup","Exact Match","Ranunculus rhomboideus","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Ranunculus sceleratus var. multifidus","Cursed Crowfoot","Exact Match","Ranunculus sceleratus var. multifidus","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Ratibida tagetes","Short-ray Prairie-coneflower","Exact Match","Ratibida tagetes","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Recurvirostra americana","American Avocet","Exact Match","Recurvirostra americana","Arizona,Arkansas,Florida,Idaho,Iowa,Kansas,Minnesota,Nebraska,Nevada,North Dakota,South Carolina,Texas,Utah","Delaware,Florida,Kansas,Nevada,North Carolina,North Dakota,South Carolina",NA,"Animalia","Chordata","Aves"
"Regina grahamii","Graham's Crayfish Snake","Exact Match","Regina grahamii","Arkansas,Nebraska","Arkansas,Illinois,Iowa,Missouri,Nebraska",NA,"Animalia","Chordata","Reptilia"
"Reithrodontomys fulvescens","Fulvous Harvest Mouse","Exact Match","Reithrodontomys fulvescens","Kansas","Arizona,Kansas",NA,"Animalia","Chordata","Mammalia"
"Reithrodontomys montanus","Plains Harvest Mouse","Exact Match","Reithrodontomys montanus","Arkansas,Missouri,Wyoming","Arizona,Arkansas,Wyoming",NA,"Animalia","Chordata","Mammalia"
"Reithrodontomys montanus griseus","Plains Harvest Mouse","Legacy Match","Reithrodontomys montanus griseus","Nebraska","Nebraska",NA,NA,NA,NA
"Rhinichthys atratulus","Blacknose Dace","Exact Match","Rhinichthys atratulus,Rhyinichthys atratulus","Connecticut,Illinois,Massachusetts,Mississippi,Nebraska,Rhode Island,South Carolina","Connecticut,Massachusetts,Mississippi,Nebraska,Rhode Island",NA,"Animalia","Chordata","Teleostei"
"Rhinichthys obtusus","Western Blacknose Dace","Exact Match","Rhinichthys obtusus,Rhnichthys obtusus","Kansas","Kansas,South Carolina",NA,"Animalia","Chordata","Teleostei"
"Rhinichthys osculus thermalis","Kendall Warm Springs Dace","Exact Match","Rhinichthys osculus thermalis","Wyoming","Wyoming","Endangered","Animalia","Chordata","Teleostei"
"Rhinocheilus lecontei","Long-nosed Snake","Exact Match","Rhinocheilus lecontei","Colorado,Idaho,Kansas,Utah","Colorado,Kansas",NA,"Animalia","Chordata","Reptilia"
"Rhithrogena flavianula","Flathead Mayfly","Exact Match","Rhithrogena flavianula","","Colorado",NA,"Animalia","Arthropoda","Insecta"
"Rhus copallinum var. copallinum","Shining Sumac","Fuzzy Match","Rhus copallina var. latifolia,Rhus copallinum var. latifolia","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Rhynchophanes mccownii","McCown's Longspur","Fuzzy Match","Calcarius mccownii,Rhynchophanes mccownii","Arizona,Colorado,Kansas,Montana,Nebraska,North Dakota,Oklahoma,Texas,Wyoming","Arizona,Colorado,Kansas,Nebraska,New Mexico,North Dakota,Oklahoma,Texas,Wyoming",NA,"Animalia","Chordata","Aves"
"Rhyssemus neglectus","A Scarab Beetle","Exact Match","Rhyssemus neglectus","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Ribes hirtellum","Hairy-stem Gooseberry","Exact Match","Ribes hirtellum","Nebraska","Nebraska,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Rorippa tenerrima","Slender Yellow Cress","Exact Match","Rorippa tenerrima","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Rubus allegheniensis","Rose Highbush Blackberry","Fuzzy Match","Rubus rosa","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Rubus flagellaris","Northern Dewberry","Exact Match","Rubus enslenii,Rubus flagellaris","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Rubus pensilvanicus","Blackberry","Fuzzy Match","Rubus laudatus,Rubus prestonensis","","Nebraska,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Rubus pubescens","Dwarf Swamp Raspberry","Exact Match","Rubus pubescens","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Rubus sachalinensis var. sachalinensis","Red Raspberry","Fuzzy Match","Rubus strigosus","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Rudbeckia laciniata var. ampla","Golden-glow","Exact Match","Rudbeckia laciniata var. ampla","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Ruellia strepens","Limestone Petunia","Exact Match","Ruellia strepens","Nebraska","Nebraska,South Carolina",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Rumex verticillatus","Water Dock","Exact Match","Rumex verticillatus","Nebraska","Massachusetts,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Sagenosoma elsa","A sphinx moth","Exact Match","Sagenosoma elsa","Colorado","Colorado",NA,"Animalia","Arthropoda","Insecta"
"Sagittaria graminea ssp. graminea","Grass-leaf Arrowhead","Fuzzy Match","Sagittaria graminea var. graminea","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Sagittaria longiloba","Long-Barb Arrowhead","Exact Match","Sagittaria longiloba","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Salicornia rubra","Saltwort","Exact Match","Salicornia rubra,Salicornia rubra 17,Salicornia rubra 18","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Salix arizonica","Arizona willow","Exact Match","Salix arizonica","","Colorado","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Salix bebbiana","Long-beak Willow","Exact Match","Salix bebbiana","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Salvelinus confluentus","Bull trout - Mid-Columbia Recovery Unit","Exact Match","Salvelinus confluentus,Salvelinus confluentus 1,Salvelinus confluentus 10,Salvelinus confluentus 11,Salvelinus confluentus 12,Salvelinus confluentus 2,Salvelinus confluentus 3,Salvelinus confluentus 38,Salvelinus confluentus 39,Salvelinus confluentus 4,Salvelinus confluentus 5,Salvelinus confluentus 6,Salvelinus confluentus 7,Salvelinus confluentus 8,Salvelinus confluentus 9,Salvelinus confluentus pop. 2,Salvelinus confluentus pop. 3,Salvelinus confluentus pop. 4","Idaho,Montana,Nevada,Oregon,Washington","California,Montana,Nevada,Oregon,Washington","Experimental Population, Non-Essential","Animalia","Chordata","Teleostei"
"Salvelinus namaycush","Lake Trout","Exact Match","Salvelinus namaycush","Illinois,Maine,Montana,New Hampshire,Ohio,Vermont","Alaska,Illinois,Maine,Montana,New Hampshire,New York,Vermont",NA,"Animalia","Chordata","Teleostei"
"Sander canadensis","Sauger","Fuzzy Match","Sander canadense,Sander canadensis,Stizostedion canadense","Illinois,Michigan,Mississippi,Montana,New York,Vermont,Virginia,Wyoming","Michigan,Mississippi,Montana,New York,Vermont,Virginia,Wyoming",NA,"Animalia","Chordata","Teleostei"
"Satyrium acadica","Acadian Hairstreak","Fuzzy Match","Satyrium acadica,Satyrium acadicum","Iowa,Pennsylvania,Rhode Island","Iowa,Nebraska,New Jersey,Ohio,Pennsylvania,Rhode Island",NA,"Animalia","Arthropoda","Insecta"
"Satyrium calanus","Banded Hairstreak","Exact Match","Satyrium calanus","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Satyrium caryaevorus","Hickory Hairstreak","Exact Match","Satyrium caryaevorum,Satyrium caryaevorus","Iowa,Maryland,Rhode Island,West Virginia,Wisconsin","Iowa,Maryland,Nebraska,New Jersey,Ohio,Rhode Island,West Virginia",NA,"Animalia","Arthropoda","Insecta"
"Satyrium liparops","Striped Hairstreak","Exact Match","Satyrium liparops","Delaware,Iowa","Iowa,Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Satyrium titus","Coral Hairstreak","Exact Match","Satyrium titus","Maine,Pennsylvania","Florida,Maine,Nebraska,New Jersey,Pennsylvania",NA,"Animalia","Arthropoda","Insecta"
"Satyrodes eurydice fumosa","Smokey Eyed Brown","Legacy Match","Satyrodes eurydice fumosa","Nebraska,Wisconsin","Nebraska","Resolved Taxon",NA,NA,NA
"Saussurea weberi","Weber saussurea","Exact Match","Saussurea weberi","","Colorado","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Scaphiopus couchii","Couch's spadefoot","Exact Match","Scaphiopus couchii","California,Colorado","California,Colorado",NA,"Animalia","Chordata","Amphibia"
"Scaphirhynchus albus","Pallid Sturgeon","Exact Match","Scaphirhynchus albus","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee","Endangered","Animalia","Chordata","Chondrostei"
"Scaphirhynchus platorynchus","shovelnose sturgeon","Fuzzy Match","Scaphirhynchus platorhynchus,Scaphirhynchus platorynchus","Alabama,Illinois,Iowa,Kansas,Minnesota,Ohio,Oklahoma,Texas,Wyoming","Alabama,Iowa,Kansas,Louisiana,Mississippi,Missouri,Ohio,Oklahoma,South Dakota,Texas,West Virginia,Wyoming","Similarity of Appearance to a Threatened Taxon","Animalia","Chordata","Chondrostei"
"Sceloporus consobrinus","Prairie Lizard","Exact Match","Sceloporus consobrinus","","Wyoming",NA,"Animalia","Chordata","Reptilia"
"Sceloporus graciosus","Sagebrush lizard","Exact Match","Sceloporus graciosus","Montana,Nebraska,North Dakota,Washington","Nebraska,North Dakota,South Dakota,Washington",NA,"Animalia","Chordata","Reptilia"
"Sceloporus magister","Desert spiny lizard","Exact Match","Sceloporus magister","","Colorado",NA,"Animalia","Chordata","Reptilia"
"Schoenoplectus hallii","Hall's Bulrush","Exact Match","Schoenoplectus hallii","Georgia,Missouri,Nebraska","Missouri,Nebraska,Texas","Under Review in the Candidate or Petition Process","Plantae","Tracheophyta","Magnoliopsida"
"Schoenoplectus saximontanus","Rocky Mountain Bulrush","Exact Match","Schoenoplectus saximontanus","Missouri,Nebraska","Missouri,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Scirpus cyperinus","Wool-grass","Exact Match","Scirpus cyperinus","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Scirpus georgianus","Georgia Bulrush","Exact Match","Scirpus georgianus","","Nebraska,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Scirpus microcarpus","Red-Tinge Bulrush","Exact Match","Scirpus microcarpus","Nebraska","Nebraska,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Sciurus aberti","Abert's Squirrel","Exact Match","Sciurus aberti","New Mexico,Utah,Wyoming","Colorado",NA,"Animalia","Chordata","Mammalia"
"Sciurus carolinensis","Eastern Gray Squirrel","Exact Match","Sciurus carolinensis","Nebraska,Ohio","Nebraska",NA,"Animalia","Chordata","Mammalia"
"Scleria triglomerata","Tall Nut-sedge","Exact Match","Scleria triglomerata","Nebraska","Massachusetts,Nebraska,Vermont,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Sclerocactus glaucus","Colorado hookless cactus","Exact Match","Sclerocactus glaucus","","Colorado","Threatened","Plantae","Tracheophyta","Magnoliopsida"
"Sclerocactus mesae-verdae","Mesa Verde hookless cactus","Exact Match","Sclerocactus mesae-verdae","","Colorado","Threatened","Plantae","Tracheophyta","Magnoliopsida"
"Scolochloa festucacea","River Grass","Exact Match","Scolochloa festucacea","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Scolopax minor","American Woodcock","Exact Match","Scolopax minor","Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oklahoma,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin","Arkansas,Connecticut,Delaware,District of Columbia,Florida,Illinois,Iowa,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Mississippi,Nebraska,New Hampshire,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",NA,"Animalia","Chordata","Aves"
"Scutellaria brittonii","Britton's Skullcap","Exact Match","Scutellaria brittonii","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Scutellaria parvula","Dwarf Skullcap","Exact Match","Scutellaria parvula","Vermont","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Sedum lanceolatum var. lanceolatum","Yellow Stonecrop","Exact Match","Sedum lanceolatum var. lanceolatum","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Selasphorus rufus","Rufous Hummingbird","Exact Match","Selasphorus rufus","Alaska,California,Colorado,Nevada","Alaska,Colorado,Nevada","Species of Concern","Animalia","Chordata","Aves"
"Senecio integerrimus var. scribneri","Scribner's Groundsel","Fuzzy Match","Senecio scribneri","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Senecio spartioides","Broom Groundsel","Exact Match","Senecio spartioides","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Senna marilandica","Southern Wild Senna","Exact Match","Senna marilandica","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Setophaga cerulea","Cerulean Warbler","Fuzzy Match","Dendroica cerulea,Dendroica cerulean,Setophaga cerulea,Setophaga  cerulea,Setophaga (Dendroica) cerulea","Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Maryland,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin","Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin","Resolved Taxon","Animalia","Chordata","Aves"
"Setophaga dominica","Yellow-throated Warbler","Fuzzy Match","Dendroica dominica,Setophaga dominica","Delaware,Kansas,Michigan,Nebraska,New Jersey,Ohio,Tennessee,Texas,Wisconsin","Delaware,Kansas,Louisiana,Michigan,Missouri,Nebraska,North Carolina,South Carolina,Tennessee,Texas,Wisconsin",NA,"Animalia","Chordata","Aves"
"Setophaga graciae","Grace's Warbler","Exact Match","Dendroica graciae,Setophaga graciae","Colorado,Nevada,New Mexico","Arizona,Colorado,New Mexico",NA,"Animalia","Chordata","Aves"
"Sigmodon hispidus","Lower Keys Cotton Rat","Fuzzy Match","Sigmodon hispidus,Sigmodon hispidus eremicus,Sigmodon hispidus exsputus,Sigmodon hispidus insulicola","Arizona,California,Florida,Nebraska","Arizona,Florida,Nebraska","Resolved Taxon","Animalia","Chordata","Mammalia"
"Silene menziesii","Menzies' Catchfly","Exact Match","Silene menziesii","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Silphium integrifolium var. integrifolium","Rosinweed","Exact Match","Silphium integrifolium var. integrifolium","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Siphlonurus minnoi","A Mayfly","Exact Match","Siphlonurus minnoi","Kansas","Kansas",NA,"Animalia","Arthropoda","Insecta"
"Sistrurus catenatus","Massasauga","Exact Match","Sistrurus catenatus,Sistrurus  catenatus,Sistrurus c. catenatus","Colorado,Indiana,Kansas,Minnesota,Nebraska,New York,Texas","Arizona,Colorado,Illinois,Indiana,Iowa,Kansas,Minnesota,Nebraska,New Mexico,Texas,Wisconsin","Threatened","Animalia","Chordata","Reptilia"
"Sitta pygmaea","Pygmy Nuthatch","Exact Match","Sitta pygmaea","Colorado,Idaho,Nebraska,Washington,Wyoming","Nebraska,New Mexico,Washington,Wyoming",NA,"Animalia","Chordata","Aves"
"Solidago flexicaulis","Zigzag Goldenrod","Exact Match","Solidago flexicaulis","Nebraska","Louisiana,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Solidago speciosa var. pallida","Showy-wand Goldenrod","Exact Match","Solidago speciosa var. pallida","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Somatochlora ensigera","Plains Emerald","Exact Match","Somatochlora ensigera","Colorado,Wisconsin","Colorado,Iowa,Minnesota,Ohio,Wisconsin",NA,"Animalia","Arthropoda","Insecta"
"Somatochlora hudsonica","Hudsonian emerald","Exact Match","Somatochlora hudsonica","","Colorado",NA,"Animalia","Arthropoda","Insecta"
"Somatochlora ozarkensis","Ozark Emerald","Exact Match","Somatochlora ozarkensis","Kansas,Missouri,Oklahoma","Arkansas,Kansas,Missouri,Oklahoma","Under Review in the Candidate or Petition Process","Animalia","Arthropoda","Insecta"
"Sonora semiannulata","Ground Snake","Exact Match","Sonora semiannulata","Arkansas,Idaho,Kansas,Utah","Arkansas,Kansas,Missouri","Species of Concern","Animalia","Chordata","Reptilia"
"Sorex arcticus","Arctic Shrew","Exact Match","Sorex arcticus","Michigan,Montana,North Dakota","Montana,North Dakota",NA,"Animalia","Chordata","Mammalia"
"Sorex haydeni","Hayden's Shrew","Exact Match","Sorex hayden,Sorex haydeni","Iowa,Wyoming","Iowa,Wyoming",NA,"Animalia","Chordata","Mammalia"
"Sorex hoyi","Pygmy Shrew","Fuzzy Match","Microsorex hoyi,Sorex hoyi","Alabama,Alaska,Idaho,Illinois,Indiana,Michigan,North Dakota,Ohio,South Carolina,Tennessee,Vermont,Wyoming","Alabama,Indiana,New Jersey,North Dakota,Ohio,South Carolina,Tennessee,Vermont,Wyoming",NA,"Animalia","Chordata","Mammalia"
"Sorex hoyi montanus","Pygmy shrew","Exact Match","Sorex hoyi montanus","","Colorado",NA,"Animalia","Chordata","Mammalia"
"Sorex merriami","Merriam's Shrew","Exact Match","Sorex merriami,Sorex merriami leucogenys","Arizona,Idaho,Montana,Nebraska,Nevada,Utah,Washington","Arizona,Nebraska,Nevada,North Dakota,Washington",NA,"Animalia","Chordata","Mammalia"
"Sorex nanus","Dwarf Shrew","Exact Match","Sorex nanus","Arizona,Colorado,Idaho,Montana,Nebraska,Utah,Wyoming","Arizona,Colorado,Montana,Nebraska,Utah,Wyoming",NA,"Animalia","Chordata","Mammalia"
"Sorex preblei","Preble's shrew","Exact Match","Sorex preblei","Colorado,Montana,Nevada,New Mexico,Utah,Washington,Wyoming","Colorado,Nevada,Utah,Washington,Wyoming","Species of Concern","Animalia","Chordata","Mammalia"
"Sorex vagrans","Vagrant Shrew","Exact Match","Sorex vagrans","Nevada,Wyoming","Wyoming",NA,"Animalia","Chordata","Mammalia"
"Sparbarus nasutus","A Mayfly","Fuzzy Match","Brachycercus nasutus,Sparbarus nasutus","Florida,Wisconsin","Florida,Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Sparganium emersum","Green-fruit Bur-reed","Exact Match","Sparganium emersum","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Spea bombifrons","Plains Spadefoot","Exact Match","Spea bombifrons","Arkansas,Montana,North Dakota,Utah,Wyoming","Arkansas,Iowa,Missouri,North Dakota,Utah,Wyoming",NA,"Animalia","Chordata","Amphibia"
"Spea intermontana","Great Basin Spadefoot","Exact Match","Spea intermontana","Arizona,Wyoming","Arizona,Colorado,Nevada,Wyoming",NA,"Animalia","Chordata","Amphibia"
"Spergularia salina","Saltmarsh Sand-spurry","Exact Match","Spergularia salina","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Speyeria aphrodite","Aphrodite Fritillary","Exact Match","Speyeria aphrodite","Delaware,Illinois,Pennsylvania","Delaware,Iowa,Nebraska,Rhode Island",NA,"Animalia","Arthropoda","Insecta"
"Speyeria atlantis pahasapa","Black Hills fritillary","Exact Match","Speyeria atlantis pahasapa","South Dakota","South Dakota",NA,"Animalia","Arthropoda","Insecta"
"Speyeria callippe","Callippe Fritillary","Exact Match","Speyeria callippe","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Speyeria coronis","Coronis Fritillary","Exact Match","Speyeria coronis","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Speyeria idalia","Regal Fritillary","Exact Match","Speyeria idalia","Colorado,Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kansas,Maryland,Michigan,Minnesota,Missouri,Nebraska,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Dakota,Vermont,Virginia,West Virginia,Wisconsin","Colorado,Connecticut,Delaware,Illinois,Iowa,Kansas,Minnesota,Missouri,Nebraska,New Jersey,North Dakota,Ohio,Oklahoma,Pennsylvania,South Dakota,Vermont,West Virginia,Wisconsin","Under Review in the Candidate or Petition Process","Animalia","Arthropoda","Insecta"
"Speyeria nokomis nokomis","Great Basin silverspot butterfly","Exact Match","Speyeria nokomis nokomis","Colorado,New Mexico","Colorado","Under Review in the Candidate or Petition Process","Animalia","Arthropoda","Insecta"
"Speyeria zerene","Zerene Fritillary","Exact Match","Speyeria zerene","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Sphalloplana kansensis","Kansas Planarian","Exact Match","Sphalloplana kansensis","Kansas","Kansas",NA,"Animalia","Platyhelminthes","Trepaxonemata"
"Spilogale putorius","Eastern Spotted Skunk","Fuzzy Match","Spilogale putoris,Spilogale putorius,Spilogale putorius ssp.","Alabama,Arkansas,Florida,Iowa,Kansas,Kentucky,Louisiana,Maryland,Minnesota,Mississippi,Nebraska,North Carolina,North Dakota,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,Virginia,West Virginia","Alabama,Arkansas,Florida,Georgia,Iowa,Kansas,Kentucky,Louisiana,Maryland,Minnesota,Mississippi,Nebraska,North Dakota,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,West Virginia",NA,"Animalia","Chordata","Mammalia"
"Spinus pinus","Pine Siskin","Fuzzy Match","Carduelis pinus,Spinus pinus","Alaska,Nebraska,North Carolina,Ohio,Pennsylvania,West Virginia","Alaska,Delaware,Maryland,Nebraska,Pennsylvania,West Virginia",NA,"Animalia","Chordata","Aves"
"Spiranthes diluvialis","Ute ladies’-tresses","Exact Match","Spiranthes diluvialis","Nebraska","Colorado,Nebraska","Threatened","Plantae","Tracheophyta","Magnoliopsida"
"Spiranthes lacera var. gracilis","Slender Ladies'-tresses","Exact Match","Spiranthes lacera var. gracilis","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Spiranthes romanzoffiana","Hooded Ladies'-tresses","Exact Match","Spiranthes romanzoffiana","","Massachusetts,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Spiranthes vernalis","Spring Ladies'-tresses","Exact Match","Spiranthes vernalis","Nebraska","Massachusetts,Nebraska,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Spiza americana","Dickcissel","Exact Match","Spiza americana","Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,New Jersey,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Tennessee,Texas,West Virginia,Wisconsin,Wyoming","Delaware,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,Missouri,New Jersey,North Dakota,Ohio,Pennsylvania,South Carolina,Texas,West Virginia,Wisconsin,Wyoming",NA,"Animalia","Chordata","Aves"
"Spizella breweri","Brewer's Sparrow","Exact Match","Spizella breweri","California,Colorado,Idaho,Montana,Nebraska,Nevada,North Dakota,Oregon,Texas,Utah,Wyoming","Arizona,Colorado,Nebraska,Nevada,North Dakota,Wyoming","Species of Concern","Animalia","Chordata","Aves"
"Spizelloides arborea","American Tree Sparrow","Fuzzy Match","Spizella arborea","Alaska,Kansas","Alaska,Delaware,Iowa,Kansas",NA,"Animalia","Chordata","Aves"
"Sporobolus texanus","Texas Dropseed","Exact Match","Sporobolus texanus","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Stachys hispida","Hispid Hedge-nettle","Exact Match","Stachys hispida","Nebraska","Nebraska,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Stanleya pinnata var. pinnata","Prince's-plume","Exact Match","Stanleya pinnata var. pinnata","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Staphylus hayhurstii","Hayhurst's Scallopwing","Exact Match","Staphylus hayhurstii","West Virginia","Florida,Iowa,Nebraska,Ohio,West Virginia",NA,"Animalia","Arthropoda","Insecta"
"Stephanomeria runcinata","Wire-lettuce","Exact Match","Stephanomeria runcinata","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Sterna forsteri","Forster's Tern","Exact Match","Sterna forsteri","California,Colorado,Delaware,Idaho,Illinois,Iowa,Kansas,Louisiana,Maryland,Michigan,Minnesota,Montana,Nebraska,Nevada,New Jersey,New York,South Carolina,Texas,Virginia,Wisconsin,Wyoming","Delaware,District of Columbia,Illinois,Iowa,Kansas,Louisiana,Maryland,Michigan,Minnesota,Nebraska,New Jersey,New York,North Carolina,South Carolina,Texas,Virginia,Wisconsin,Wyoming",NA,"Animalia","Chordata","Aves"
"Sternula antillarum","Least Tern","Fuzzy Match","Sterna antillarum,Sternula antillarum","Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Maine,Maryland,Massachusetts,Mississippi,Montana,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Puerto Rico,Rhode Island,South Carolina,Texas,Virginia,Virgin Islands","Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Iowa,Kansas,Louisiana,Maine,Maryland,Massachusetts,Mississippi,Montana,New Hampshire,New Jersey,New Mexico,New York,North Carolina,Rhode Island,South Carolina,Texas,Virginia","Endangered","Animalia","Chordata","Aves"
"Sternula antillarum athalassos","Interior Least Tern","Exact Match","Sterna antillarum athalassos,Sternula antillarum athalassos,Sternulla antillarum athalassos","Arkansas,Kentucky,Louisiana,Mississippi,Missouri,Nebraska,Oklahoma,South Dakota,Tennessee","Arkansas,Indiana,Kentucky,Louisiana,Mississippi,Missouri,Nebraska,North Dakota,Oklahoma,South Dakota,Tennessee",NA,"Animalia","Chordata","Aves"
"Storeria occipitomaculata","Redbelly Snake","Exact Match","Storeria occipitomaculata,Storeria occipitomaculata 19,Storeria occipitomaculata 20,Storeria o.occipitomaculata","Delaware,Kansas,Nebraska,North Dakota,Ohio","Delaware,Iowa,Kansas,Nebraska",NA,"Animalia","Chordata","Reptilia"
"Storeria occipitomaculata pahasapae","Black Hills Redbelly Snake","Exact Match","Storeria occipitomaculata pahasapae","South Dakota,Wyoming","South Dakota,Wyoming","Species of Concern","Animalia","Chordata","Reptilia"
"Strix nebulosa","Great Gray Owl","Exact Match","Strix nebulosa,Strix nebulosi","Alaska,California,Montana,Oregon,Washington,Wyoming","Alaska,California,Idaho,Oregon,Washington,Wyoming",NA,"Animalia","Chordata","Aves"
"Strix occidentalis lucida","Mexican Spotted Owl","Exact Match","Strix occidentalis lucida","Arizona,Colorado,New Mexico,Utah","Arizona,Colorado,New Mexico,Texas,Utah","Threatened","Animalia","Chordata","Aves"
