"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","nsNationalStatus","nsStatusLastReviewed","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"California","","Resolved Taxon","B07Z","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B07Z","Presumed Extirpated","1997-01-05","Thryomanes bewickii leucophrys","https://services.itis.gov/?q=tsn:178575","San Clemente Bewick's wren","Birds","Subspecies","Exact Match","Thryomanes bewickii leucophrys"
"Arizona","Arizona",NA,NA,NA,"Vulernable (breeding)","2003-10-03","Lampornis clemenciae","https://services.itis.gov/?q=tsn:178054","Blue-throated Hummingbird","Birds","Species","Exact Match","Lampornis clemenciae"
"Colorado,Kansas,New Mexico,Oklahoma,Texas","Colorado,Kansas,New Mexico,Oklahoma,Texas","Under Review in the Candidate or Petition Process","B0AZ","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0AZ","Vulnerable","1997-01-05","Tympanuchus pallidicinctus","https://services.itis.gov/?q=tsn:175838","Lesser Prairie-Chicken","Birds","Species","Exact Match","Tympanuchus pallidicinctus"
"Arizona,Maine,North Carolina,Pennsylvania,South Carolina,Virginia,West Virginia","Alaska,Colorado,Maine,Michigan,Nebraska,North Carolina,Pennsylvania,South Carolina,Virginia,Wisconsin","Species of Concern","B0FS","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0FS","Secure","1997-03-19","Loxia curvirostra","https://services.itis.gov/?q=tsn:179259","Red Crossbill","Birds","Species","Exact Match","Loxia curvirostra"
"Arizona,Idaho,Nebraska,New Mexico,Washington,Wyoming","Arizona,Idaho,Montana,Nebraska,Nevada,Wyoming",NA,NA,NA,"Secure (breeding), Secure (non-breeding)","1997-01-05","Aechmophorus clarkii","https://services.itis.gov/?q=tsn:554027","Clark's Grebe","Birds","Species","Exact Match","Aechmophorus clarkii"
"California","California","Species of Concern","B08R","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B08R","Imperiled","1997-01-05","Melospiza melodia maxillaris","https://services.itis.gov/?q=tsn:179511","Suisun song sparrow","Birds","Subspecies","Exact Match","Melospiza melodia maxillaris"
"California","California",NA,NA,NA,"Critically Imperiled (breeding)","1997-01-05","Oceanodroma melania","https://services.itis.gov/?q=tsn:174640","Black Storm Petrel","Birds","Species","Exact Match","Oceanodroma melania"
"Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Iowa,Kansas,Louisiana,Maine,Maryland,Massachusetts,Mississippi,Montana,New Hampshire,New Jersey,New Mexico,New York,North Carolina,Rhode Island,South Carolina,Texas,Virginia","Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Maine,Maryland,Massachusetts,Mississippi,Montana,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Puerto Rico,Rhode Island,South Carolina,Texas,Virgin Islands,Virginia",NA,NA,NA,"Apparently Secure (breeding)","1997-01-05","Sternula antillarum","https://services.itis.gov/?q=tsn:824127","Least Tern","Birds","Species","Exact Match","Sternula antillarum, Sterna antillarum, Sternula antillarum "
"Alabama,California,Colorado,Connecticut,Delaware,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Jersey,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,Rhode Island,Tennessee,Texas,Vermont,Washington,West Virginia,Wisconsin,Wyoming","Alabama,Alaska,Arkansas,California,Colorado,Connecticut,Delaware,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Jersey,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,Tennessee,Texas,Utah,Vermont,West Virginia,Wisconsin,Wyoming","Species of Concern","B0HD","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0HD","Secure (breeding), Secure (non-breeding)","1997-01-05","Asio flammeus","https://services.itis.gov/?q=tsn:177935","Short-eared Owl","Birds","Species","Exact Match","Asio flammeus , Asio flammeus"
"Arizona","",NA,NA,NA,"Apparently Secure (breeding)","1997-01-05","Peucedramus taeniatus","https://services.itis.gov/?q=tsn:178874","Olive Warbler","Birds","Species","Exact Match","Peucedramus taeniatus"
"Arizona,Connecticut,Iowa,Michigan","Arkansas,Connecticut,Illinois,Indiana,Iowa,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,Missouri,New Hampshire,North Carolina,Ohio,Rhode Island,Virgin Islands,West Virginia",NA,NA,NA,NA,NA,"Gallinula chloropus","https://services.itis.gov/?q=tsn:176284","Common Moorhen","Birds","Species","Exact Match","Gallinula chloropus"
"Alaska,Arizona,Maine,Maryland,Pennsylvania,West Virginia,Wisconsin","Alaska,Arizona,Connecticut,Maryland,Pennsylvania,West Virginia",NA,NA,NA,"Secure (breeding)","1997-03-19","Catharus ustulatus","https://services.itis.gov/?q=tsn:179788","Swainson's Thrush","Birds","Species","Exact Match","Catharus ustulatus"
