"scientificname","commonname","taxonomicrank","matchmethod","taxonomicgroup","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","listingStatus","kingdom","phylum","class","order","family","genus"
"Limnephilus secludens","a species of northern caddisfly","Species","Exact Match","Insects","Limnephilus secludens","","Minnesota",0,1,NA,"Animalia","Arthropoda","Insecta","Trichoptera","Limnephilidae","Limnephilus"
"Limnobium spongia","American frogbit","Species","Fuzzy Match","Plants","Limnobium spongia ssp. spongia","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Alismatales","Hydrocharitaceae","Limnobium"
"Limnodromus griseus","Short-billed Dowitcher","Species","Exact Match","Birds","Limnodromus griseus,Limnodromus  griseus","Alaska,Arkansas,Delaware,Illinois,Iowa,Kentucky,Louisiana,Maryland,Massachusetts,Minnesota,New York,Rhode Island,South Carolina,Texas,Virginia,Virgin Islands,Wisconsin","Arkansas,Delaware,Florida,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Minnesota,New Jersey,New York,Rhode Island,South Carolina,Virginia",17,17,"Species of Concern","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limnodromus"
"Limnodromus scolopaceus","Long-billed Dowitcher","Species","Exact Match","Birds","Limnodromus scolopaceus","Kansas,Nevada,South Carolina","Alaska,Florida,Iowa,Kansas,Nevada,South Carolina",3,6,NA,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limnodromus"
"Limnothlypis swainsonii","Swainson's Warbler","Species","Exact Match","Birds","Limnothlypis swainsonii,Limothlypis swainsonii","Alabama,Arkansas,Delaware,Florida,Georgia,Illinois,Kentucky,Louisiana,Maryland,Mississippi,Missouri,New Jersey,North Carolina,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,Virginia,West Virginia","Arkansas,Delaware,Florida,Georgia,Illinois,Kentucky,Louisiana,Maryland,Mississippi,Missouri,New Jersey,North Carolina,Oklahoma,South Carolina,Tennessee,Texas,Virginia,West Virginia",20,18,NA,"Animalia","Chordata","Aves","Passeriformes","Parulidae","Limnothlypis"
"Limosa fedoa","Marbled Godwit","Species","Exact Match","Birds","Limosa fedoa","Alaska,Colorado,Delaware,Florida,Georgia,Iowa,Kansas,Louisiana,Minnesota,Mississippi,New Jersey,New York,North Dakota,South Carolina,South Dakota,Tennessee,Texas,Virginia,Washington,Wisconsin","Delaware,Florida,Iowa,Kansas,Louisiana,Minnesota,Mississippi,New Jersey,North Carolina,North Dakota,South Carolina,South Dakota,Tennessee,Virginia,Washington",20,15,"Species of Concern","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa"
"Limosa haemastica","Hudsonian Godwit","Species","Exact Match","Birds","Limosa haemastica","Alaska,Arkansas,Delaware,Iowa,Kansas,Minnesota,New Jersey,New York,Oklahoma,Tennessee,Texas,Virginia,Wisconsin","Alaska,Delaware,Iowa,Kansas,Louisiana,Minnesota,New Jersey,Oklahoma,Tennessee,Texas",13,10,NA,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa"
"Limotettix elegans","A Leafhopper","Unknown Taxonomic Rank","Legacy Match","Insects","Limotettix elegans","Illinois,Wisconsin","Wisconsin",2,1,NA,NA,NA,NA,NA,NA,NA
"Limotettix parallelus","a leafhopper","Unknown Taxonomic Rank","Legacy Match","Insects","Limotettix parallelus","Illinois","Illinois",1,1,NA,NA,NA,NA,NA,NA,NA
"Limotettix pseudosphagneticus","A Leafhopper","Unknown Taxonomic Rank","Legacy Match","Insects","Limotettix pseudosphagneticus","Wisconsin","Wisconsin",1,1,NA,NA,NA,NA,NA,NA,NA
"Limotettix truncatus","a leafhopper","Unknown Taxonomic Rank","Legacy Match","Insects","Limotettix truncatus","Illinois","Illinois",1,1,NA,NA,NA,NA,NA,NA,NA
"Linanthus caespitosus","Matted Prickly-Phlox","Species","Exact Match","Plants","Linanthus caespitosus,Linanthus caespitosus 10,Linanthus caespitosus 9","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Polemoniaceae","Linanthus"
"Lindera melissifolia","Pondberry","Species","Exact Match","Plants","Lindera melissifolia","Georgia,Missouri","Georgia,Louisiana,Missouri,South Carolina",2,4,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","Lindera"
"Lintneria eremitoides","Sage Sphinx","Species","Fuzzy Match","Insects","Lintneria eremitoides,Sphinx eremitoides","Kansas,Texas","Kansas,Texas",2,2,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Lintneria"
"Linum berlandieri var. berlandieri","Berlandier's Flax","Variety","Exact Match","Plants","Linum berlandieri var. berlandieri","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Linaceae","Linum"
"Linum lewisii var. lewisii","Western Prairie Flax","Variety","Exact Match","Plants","Linum lewisii var. lewisii","","Nebraska,West Virginia",0,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Linaceae","Linum"
"Liodessus cantralli","Cantrall's bog beetle","Species","Exact Match","Insects","Liodessus cantralli","Michigan,Wisconsin","Michigan,Wisconsin",2,2,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Liodessus"
"Liodessus obscurellus","A Predaceous Diving Beetle","Species","Exact Match","Insects","Liodessus obscurellus","","Wisconsin",0,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Liodessus"
"Lioporeus triangularis","A Predaceous Diving Beetle","Species","Exact Match","Insects","Lioporeus triangularis","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Lioporeus"
"Liparis loeselii","Loesel's Twayblade","Species","Exact Match","Plants","Liparis loeselii","Missouri,Nebraska","Georgia,Massachusetts,Missouri,Nebraska,Tennessee,West Virginia",2,6,NA,"Plantae","Tracheophyta","Magnoliopsida","Asparagales","Orchidaceae","Liparis"
"Lipocarpha drummondii","A Lipocarpha","Species","Exact Match","Plants","Lipocarpha drummondii","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Cyperaceae","Lipocarpha"
"Lithasia obovata","Shawnee rocksnail","Species","Exact Match","Mollusks","Lithasia obovata","Illinois,Pennsylvania","Illinois",2,1,NA,"Animalia","Mollusca","Gastropoda","Neotaenioglossa","Pleuroceridae","Lithasia"
"Lithobates areolatus","Crawfish Frog","Species","Exact Match","Amphibians","Lithobates areolata,Lithobates areolatus,Lithobates (Rana) areolata","","Alabama,Arkansas,Illinois,Indiana,Iowa,Kansas,Mississippi,Oklahoma,Tennessee,Texas",0,10,NA,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates"
"Lithobates areolatus circulosus","Northern Crawfish Frog","Subspecies","Fuzzy Match","Amphibians","Lithobates areolatus circulosus,Rana areolata circulosa","Arkansas,Kentucky,Missouri","Kentucky,Missouri",3,2,NA,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates"
"Lithobates blairi","Plains Leopard Frog","Species","Fuzzy Match","Amphibians","Lithobates blairi,Lithobates  blairi,Rana blairi","Arizona,Colorado,Indiana,New Mexico","Arizona,Colorado,Indiana,Missouri,New Mexico",4,5,NA,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates"
"Lithobates clamitans","Green Frog","Species","Exact Match","Amphibians","Lithobates clamitans","","District of Columbia,Kansas",0,2,NA,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates"
"Lithobates palustris","Pickerel Frog","Species","Fuzzy Match","Amphibians","Lithobates palustris,Rana palustris","District of Columbia,Illinois,Kansas,Michigan,Minnesota,Ohio,South Carolina,Wisconsin","District of Columbia,Illinois,Iowa,Michigan,Minnesota,Mississippi,Missouri,South Carolina,Wisconsin",8,9,NA,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates"
"Lithobates pipiens","Northern Leopard Frog","Species","Exact Match","Amphibians","Lithobates pipiens,Lithobates pipiens (R. pipiens),Rana pipiens,Rana pipiens (Intermountain valleys)","Arizona,California,Colorado,Connecticut,Idaho,Indiana,Kentucky,Massachusetts,Michigan,Missouri,Montana,Nevada,New Hampshire,New Mexico,Ohio,Oregon,Rhode Island,Utah,Washington,West Virginia,Wyoming","Arizona,California,Colorado,Connecticut,Idaho,Indiana,Iowa,Kentucky,Maine,Massachusetts,Montana,Nevada,New Hampshire,New Mexico,Pennsylvania,Rhode Island,Utah,Washington,West Virginia,Wyoming",21,20,NA,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates"
"Lithobates septentrionalis","Mink Frog","Species","Fuzzy Match","Amphibians","Lithobates septentrionalis,Rana septentrionalis","New Hampshire,Wisconsin","Maine,Michigan,New Hampshire,Wisconsin",2,4,NA,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates"
"Lithobates sphenocephalus","Southern Leopard Frog","Species","Exact Match","Amphibians","Lithobates sphenocephala,Lithobates sphenocephalus","","District of Columbia,Iowa,Missouri,New Jersey",0,4,NA,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates"
"Lithobates sphenocephalus sphenocephalus","Southern Leopard Frog","Subspecies","Fuzzy Match","Amphibians","Rana sphenocephala","Kentucky,New York,Pennsylvania","Kentucky",3,1,NA,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates"
"Lithobates sylvaticus","Wood Frog","Species","Fuzzy Match","Amphibians","Lithobates sylvatica,Lithobates sylvaticus,Rana sylvatica,Rana sylvatica [Lithobates sylvaticus] pop.3","Alaska,Arkansas,Colorado,Connecticut,District of Columbia,Idaho,Illinois,Kentucky,Missouri,Ohio,Rhode Island,South Carolina,Wyoming","Alabama,Alaska,Arkansas,Colorado,Connecticut,Delaware,District of Columbia,Kentucky,Missouri,North Carolina,Ohio,Rhode Island,South Carolina,Wyoming",13,14,NA,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates"
"Lithophragma parviflorum","Small-flower Prairie-star","Species","Fuzzy Match","Plants","Lithophragma parviflora","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Lithophragma"
"Lobelia cardinalis","Cardinal Flower","Species","Exact Match","Plants","Lobelia cardinalis","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Lobelia"
"Lobelia inflata","Indian-tobacco","Species","Exact Match","Plants","Lobelia inflata","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Lobelia"
"Loeflingia squarrosa","Spreading Pygmyleaf","Species","Exact Match","Plants","Loeflingia squarrosa,Loeflingia squarrosa var. texana","","Louisiana,Nebraska",0,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Loeflingia"
"Lomatium nuttallii","Dog-parsley","Species","Exact Match","Plants","Lomatium nuttallii","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium"
"Lonatura catalina","a leafhopper","Unknown Taxonomic Rank","Legacy Match","Insects","Lonatura catalina","Illinois","Illinois",1,1,NA,NA,NA,NA,NA,NA,NA
"Lontra canadensis","River otter","Species","Fuzzy Match","Mammals","Lontra canadensis,Lutra canadensis","Colorado,District of Columbia,Illinois,Indiana,Iowa,Nebraska,Nevada,New Jersey,New Mexico,New York,North Dakota,Ohio,Oklahoma,South Dakota,Texas,Utah,Vermont,Wyoming","Colorado,District of Columbia,Nebraska,Nevada,New Mexico,North Dakota,South Dakota,Texas,Vermont,Wyoming",18,10,"Resolved Taxon","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lontra"
"Lophodytes cucullatus","Hooded Merganser","Species","Exact Match","Birds","Lophodytes cucullatus","Connecticut,Delaware,Idaho,Illinois,Kentucky,Ohio,West Virginia","Delaware,Kentucky,New Jersey,Rhode Island,West Virginia",7,5,NA,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Lophodytes"
"Lordithon niger","Black lordithon rove beetle","Unknown Taxonomic Rank","Legacy Match","Insects","Lordithon niger","Connecticut,Michigan,Missouri,Virginia","Connecticut,Michigan,Virginia",4,3,"Species of Concern",NA,NA,NA,NA,NA,NA
"Lota lota","Burbot","Species","Exact Match","Fish","Lota lota","Connecticut,Idaho,Iowa,Kentucky,Maine,Massachusetts,New Hampshire,Ohio,Pennsylvania,Wyoming","Alaska,Connecticut,Idaho,Illinois,Iowa,Kentucky,Maine,Massachusetts,Nebraska,New Hampshire,North Dakota,Ohio,Pennsylvania,Washington,Wyoming",10,15,"Resolved Taxon","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Lota"
"Loxia leucoptera","White-winged Crossbill","Species","Exact Match","Birds","Loxia leucoptera","Alaska,Idaho,Michigan","Alaska,Iowa,Maine",3,3,NA,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia"
"Ludwigia alternifolia","Bushy Seedbox","Species","Exact Match","Plants","Ludwigia alternifolia","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"Ludwigia leptocarpa","River Seedbox","Species","Exact Match","Plants","Ludwigia leptocarpa","Missouri","Missouri,West Virginia",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"Ludwigia microcarpa","Small-fruited false loosestrife","Species","Exact Match","Plants","Ludwigia microcarpa","Missouri","Louisiana,Missouri",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"Ludwigia peploides ssp. glabrescens","Floating Primrose-willow","Subspecies","Fuzzy Match","Plants","Ludwigia peploides var. glabrescens","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"Luxilus cardinalis","Cardinal Shiner","Species","Exact Match","Fish","Luxilus cardinalis","Kansas,Oklahoma","Kansas,Missouri,Oklahoma",2,3,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Luxilus"
"Luxilus chrysocephalus","Striped Shiner","Species","Fuzzy Match","Fish","Luxilis chrysocephalus,Luxilus chrysocephalus","Maryland,Michigan,North Carolina,Wisconsin","Florida,Kansas,Maryland,Wisconsin",4,4,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Luxilus"
"Luxilus cornutus","Common Shiner","Species","Exact Match","Fish","Luxilus cornutus","Colorado,Connecticut,Kansas,Massachusetts,Nebraska,Rhode Island,West Virginia,Wyoming","Colorado,Connecticut,Kansas,Massachusetts,Missouri,Nebraska,Rhode Island,West Virginia,Wyoming",8,9,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Luxilus"
"Luxilus pilsbryi","Duskystripe shiner","Species","Exact Match","Fish","Luxilus pilsbryi","","Missouri",0,1,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Luxilus"
"Luxilus zonatus","Bleeding Shiner","Species","Exact Match","Fish","Luxilus zonatus","","Illinois,Missouri",0,2,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Luxilus"
"Lycaeides idas nabokovi","northern blue","Unknown Taxonomic Rank","Legacy Match","Insects","Lycaeides idas nabokovi","Michigan,Minnesota","Michigan",2,1,NA,NA,NA,NA,NA,NA,NA
"Lycaena dione","Gray Copper","Species","Exact Match","Insects","Lycaena dione","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena"
"Lycaena helloides","Purplish Copper","Species","Exact Match","Insects","Lycaena helloides","Illinois,Iowa,Ohio","Iowa,Nebraska,Ohio",3,3,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena"
"Lycaena phlaeas","American Copper","Species","Exact Match","Insects","Lycaena phlaeas","","Nebraska",0,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena"
"Lycaena rubidus","Ruddy Copper","Species","Fuzzy Match","Insects","Lycaena rubida","","Nebraska",0,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena"
"Lycopodium dendroideum","Round-branched Ground Pine","Species","Exact Match","Plants","Lycopodium dendroideum","Missouri","Missouri,Tennessee",1,2,NA,"Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales","Lycopodiaceae","Lycopodium"
"Lycopodium tristachyum","Ground Cedar","Species","Exact Match","Plants","Lycopodium tristachyum","Missouri","Missouri,South Carolina",1,2,NA,"Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales","Lycopodiaceae","Lycopodium"
"Lygodesmia juncea","Skeleton plant","Species","Exact Match","Plants","Lygodesmia juncea","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Lygodesmia"
"Lymnaea stagnalis","Swamp Lymnaea","Species","Exact Match","Mollusks","Lymnaea stagnalis,Lymnaea stagnalis 3,Lymnaea stagnalis 4","Indiana","Indiana,Pennsylvania",1,2,NA,"Animalia","Mollusca","Gastropoda","Basommatophora","Lymnaeidae","Lymnaea"
"Lynx canadensis","Canada Lynx","Species","Exact Match","Mammals","Lynx canadensis","Colorado,Idaho,Maine,Michigan,Minnesota,Montana,New Hampshire,New York,Utah,Vermont,Washington,Wyoming","Colorado,Maine,Minnesota,New Hampshire,Utah,Vermont,Washington,Wyoming",12,8,"Threatened","Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx"
"Lynx rufus","Bobcat","Species","Fuzzy Match","Mammals","Felis rufus,Lynx rufus","Connecticut,Illinois,Indiana,Iowa,Maryland,Massachusetts,New Hampshire,New Jersey,Ohio,Rhode Island,Vermont","Delaware,Maryland,Massachusetts,New Jersey,Ohio,Rhode Island,Vermont",11,7,"Resolved Taxon","Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx"
"Lyogyrus walkeri","Canadian duskysnail","Species","Exact Match","Other Invertebrates","Lyogyrus walkeri","New York,Pennsylvania","Michigan,Vermont",2,2,NA,"Animalia","Mollusca","Gastropoda","Neotaenioglossa","Hydrobiidae","Lyogyrus"
"Lysimachia maritima","Sea-Milkwort","Species","Fuzzy Match","Plants","Glaux maritima,Lysimachia maritima","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Lysimachia"
"Lysimachia maxima","Chaffweed","Species","Fuzzy Match","Plants","Lysimachia maxima,Lysimachia minima","Hawaii","Hawaii,Nebraska",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Lysimachia"
"Lysimachia terrestris","Swamp candles","Species","Exact Match","Plants","Lysimachia terrestris","Missouri","Missouri,Tennessee",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Lysimachia"
"Lysimachia thyrsiflora","Tufted loosestrife","Species","Exact Match","Plants","Lysimachia thyrsiflora","Missouri","Missouri,West Virginia",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Lysimachia"
"Lythrurus fumeus","Ribbon Shiner","Species","Exact Match","Fish","Lythrurus fumeus","Illinois","Illinois,Missouri",1,2,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Lythrurus"
"Lythrurus umbratilis","Redfin Shiner","Species","Exact Match","Fish","Lythrurus umbratilis","Iowa,Minnesota,New York,Pennsylvania,West Virginia,Wisconsin","Iowa,Minnesota,New York,Pennsylvania,West Virginia,Wisconsin",6,6,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Lythrurus"
"Lytrosis permagnaria","A geometrid moth","Species","Exact Match","Insects","Lytrosis permagnaria","Indiana,Missouri,Virginia","Missouri,Virginia",3,2,"Species of Concern","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Lytrosis"
"Maccaffertium bednariki","A Heptageniid mayfly","Species","Fuzzy Match","Insects","Stenonema bednariki","Missouri","Missouri",1,1,NA,"Animalia","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium"
"Maccaffertium pulchellum","A Flat-headed Mayfly","Species","Exact Match","Insects","Maccaffertium pulchellum","","Wisconsin",0,1,NA,"Animalia","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium"
"Macdunnoa persimplex","A Flat-headed Mayfly","Species","Exact Match","Insects","Macdunnoa persimplex","Wisconsin","Colorado,Wisconsin",1,2,NA,"Animalia","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Macdunnoa"
"Macrhybopsis gelida","Sturgeon Chub","Species","Exact Match","Fish","Macrhybopsis gelida","Arkansas,Illinois,Iowa,Kansas,Kentucky,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee,Wyoming","Illinois,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee,Wyoming",13,13,"Resolved Taxon","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Macrhybopsis"
"Macrhybopsis hyostoma","Shoal Chub","Species","Exact Match","Fish","Macrhybopsis hyostoma,Macrhybopsis hyostomus","Georgia,Kansas,West Virginia,Wisconsin","Alabama,Arkansas,Illinois,Iowa,Kansas,Louisiana,Ohio,West Virginia,Wisconsin",4,9,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Macrhybopsis"
"Macrhybopsis meeki","Sicklefin Chub","Species","Exact Match","Fish","Macrhybopsis meeki","Arkansas,Illinois,Iowa,Kansas,Kentucky,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee",12,13,"Resolved Taxon","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Macrhybopsis"
"Macrhybopsis storeriana","Silver Chub","Species","Exact Match","Fish","Macrhybopsis storeriana,Macryhbopsis storeriana","Kansas,Michigan,Missouri,New York,North Dakota,Ohio,Pennsylvania,Texas,West Virginia","Kansas,Michigan,Missouri,North Dakota,Ohio,Texas,West Virginia",9,7,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Macrhybopsis"
"Macrhybopsis tetranema","Canadian Speckled Chub","Species","Fuzzy Match","Fish","Macrhybopsis aestivalis tetranemus,Macrhybopsis tetranema,Macrhyhopsis tetranema","Kansas,New Mexico,Oklahoma,Texas","Kansas,New Mexico,Texas",4,3,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Macrhybopsis"
"Macrobrachium ohione","Ohio shrimp","Species","Exact Match","Other","Macrobrachium ohione","Missouri,South Carolina,Texas,Virginia","Florida,Kentucky,Missouri,South Carolina,Virginia",4,5,NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Macrobrachium"
"Macrochelys temminckii","Alligator Snapping Turtle","Species","Fuzzy Match","Reptiles","Macrochelys temmincki,Macrochelys temminckii,Macroclemys temmincki","Alabama,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Oklahoma,Tennessee,Texas","Florida,Georgia,Illinois,Indiana,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Oklahoma,Tennessee,Texas",14,12,NA,"Animalia","Chordata","Reptilia","Testudines","Chelydridae","Macrochelys"
"Macromia alleghaniensis","Allegheny River Cruiser","Species","Exact Match","Insects","Macromia alleghaniensis","Maryland,Pennsylvania,Virginia,West Virginia","Florida,Maryland,New Jersey,Ohio,Pennsylvania,Virginia,West Virginia",4,7,NA,"Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Macromia"
"Macromia illinoiensis georgina","Georgia River Cruiser","Subspecies","Exact Match","Insects","Macromia illinoiensis georgina","","Ohio",0,1,NA,"Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Macromia"
"Macromia pacifica","Gilded River Cruiser","Species","Exact Match","Insects","Macromia pacifica","Wisconsin","Ohio",1,1,NA,"Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Macromia"
"Macromia taeniolata","Wabash River Cruiser","Species","Fuzzy Match","Insects","Macromia taeniolata,Macromia wabashensis","Delaware,Iowa,Maryland,Ohio,West Virginia,Wisconsin","Delaware,Iowa,Maryland,Ohio,Pennsylvania,West Virginia,Wisconsin",6,7,"Species of Concern","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Macromia"
"Maianthemum canadense","False Lily-of-the-valley","Species","Fuzzy Match","Plants","Maianthemum canadense var. interius","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asparagales","Asparagaceae","Maianthemum"
"Malus ioensis","Prairie Crabapple","Species","Exact Match","Plants","Malus ioensis,Malus ioensis var. ioensis","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Malus"
"Margariscus margarita","Pearl Dace","Species","Exact Match","Fish","Margariscus margarita","Iowa,Maryland,Montana,Nebraska,North Dakota,South Dakota,Virginia,West Virginia,Wyoming","District of Columbia,Iowa,Maine,Maryland,Montana,Nebraska,North Dakota,Pennsylvania,Virginia,West Virginia,Wyoming",9,11,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Margariscus"
"Margariscus nachtriebi","Northern Pearl Dace","Species","Exact Match","Fish","Margariscus nachtriebi","","South Dakota,Vermont",0,2,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Margariscus"
"Margaritifera monodonta","Spectaclecase","Species","Fuzzy Match","Mollusks","Cumberlandia monodonta,Margaritifera monodonta","Alabama,Arkansas,Illinois,Iowa,Kansas,Kentucky,Minnesota,Missouri,Nebraska,Tennessee,Virginia,West Virginia,Wisconsin","Alabama,Arkansas,Illinois,Iowa,Kentucky,Minnesota,Missouri,Ohio,Tennessee,Virginia,West Virginia,Wisconsin",13,12,NA,"Animalia","Mollusca","Bivalvia","Unionoida","Margaritiferidae","Margaritifera"
"Marpissa formosa","a species of jumping spider","Species","Exact Match","Other Invertebrates","Marpissa formosa","","Minnesota",0,1,NA,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Marpissa"
"Marshallia caespitosa","Barbara's buttons","Species","Fuzzy Match","Plants","Marshallia caespitosa var. caespitosa,Marshallia caespitosa var. signata","Missouri","Louisiana,Missouri",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Marshallia"
"Martes americana","American Marten","Species","Exact Match","Mammals","Martes americana,Martes Americana","California,Maryland,Michigan,Nevada,New Hampshire,New York,Ohio,Oregon,Utah,Vermont,Washington,Wisconsin,Wyoming","Colorado,Nevada,New Hampshire,New Mexico,North Dakota,Oregon,Vermont,Wisconsin,Wyoming",13,9,NA,"Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Martes"
"Masticophis flagellum","Coachwhip","Species","Fuzzy Match","Reptiles","Coluber flagellum,Masticophis [Coluber] flagellum,Masticophis flagellum","Illinois,Mississippi,Nebraska,North Carolina,Tennessee,Utah","Illinois,Mississippi,North Carolina,Tennessee",6,4,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Masticophis"
"Masticophis flagellum flagellum","Eastern Coachwhip","Subspecies","Exact Match","Reptiles","Masticophis flagellum flagellum","Kentucky","Kentucky,Missouri",1,2,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Masticophis"
