"scientificname","statelist_2015","Montana","Wyoming","Colorado","North Dakota","South Dakota","Nebraska","Kansas"
"Boloria selene","Iowa,Maryland,Nebraska,Rhode Island",0,0,0,0,0,1,0
"Boltonia asteroides var. latisquama","Nebraska",0,0,0,0,0,1,0
"Bombus fervidus","Colorado,Idaho,Maine,Massachusetts,Minnesota,New Hampshire,New Jersey,New York,North Carolina,Vermont,Virginia,Wisconsin",0,0,1,0,0,0,0
"Bombus fraternus","Colorado,Delaware,Illinois,New Jersey,North Carolina,Oklahoma,Virginia",0,0,1,0,0,0,0
"Bombus morrisoni","California,Colorado,Idaho,Washington",0,0,1,0,0,0,0
"Bombus occidentalis","California,Colorado,Idaho,Nebraska,Oregon,Washington",0,0,1,0,0,1,0
"Bombus pensylvanicus","Colorado,Connecticut,Delaware,Illinois,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Oklahoma,Texas,Vermont,Virginia,Wisconsin",0,0,1,0,0,1,0
"Bombus suckleyi","California,Colorado,Idaho,Washington",0,0,1,0,0,0,0
"Bombus terricola","Connecticut,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,Rhode Island,Vermont,Virginia,Wisconsin",0,0,0,0,0,1,0
"Bonasa umbellus","Connecticut,Delaware,Iowa,Kentucky,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Vermont,Virginia,West Virginia",0,0,0,0,1,0,0
"Botaurus lentiginosus","Arizona,Arkansas,Colorado,Connecticut,Delaware,District of Columbia,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nevada,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Pennsylvania,South Carolina,Tennessee,Utah,Vermont,West Virginia,Wisconsin,Wyoming",0,1,1,1,0,0,1
"Botrychium campestre","Nebraska,Vermont",0,0,0,0,0,1,0
"Botrychium lineare","Colorado",0,0,1,0,0,0,0
"Brachyelytrum erectum","Nebraska",0,0,0,0,0,1,0
"Brachylagus idahoensis","California,Colorado,Idaho,Nevada,Oregon,Utah,Washington,Wyoming",0,1,1,0,0,0,0
"Branchinecta potassa","Nebraska",0,0,0,0,0,1,0
"Brasenia schreberi","Nebraska",0,0,0,0,0,1,0
"Bromus marginatus","Nebraska",0,0,0,0,0,1,0
"Bromus porteri","Nebraska",0,0,0,0,0,1,0
"Bromus ramosus","Colorado",0,0,1,0,0,0,0
"Bucephala islandica","California,Colorado,Maine,Washington,Wyoming",0,1,1,0,0,0,0
"Buteo lineatus","Delaware,Indiana,Iowa,Michigan,Minnesota,Nebraska,New Jersey,New York,South Carolina,Texas,Vermont,Wisconsin",0,0,0,0,0,1,0
"Buteo regalis","Arizona,Colorado,Idaho,Kansas,Nebraska,Nevada,North Dakota,Oklahoma,Oregon,South Dakota,Texas,Utah,Washington,Wyoming",0,1,1,1,1,1,1
"Buteo swainsoni","Arizona,California,Colorado,Illinois,Iowa,Kansas,Minnesota,Missouri,Nebraska,North Dakota,Oklahoma,Oregon,Texas,Wyoming",0,1,1,1,0,1,1
"Caecidotea metcalfi","Kansas",0,0,0,0,0,0,1
"Caecidotea simulator","Arkansas,Kansas,Oklahoma",0,0,0,0,0,0,1
"Caecidotea steevesi","Arkansas,Kansas",0,0,0,0,0,0,1
"Caecidotea tridentata","Illinois,Kansas",0,0,0,0,0,0,1
"Calamospiza melanocorys","Colorado,Kansas,North Dakota,South Dakota,Wyoming",0,1,1,1,1,0,1
"Calcarius ornatus","Arizona,Colorado,Kansas,Minnesota,Montana,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Wyoming",1,1,1,1,1,1,1
"Calcarius pictus","Alaska,Arkansas,Illinois,Iowa,Kansas,Louisiana,Oklahoma,Texas",0,0,0,0,0,0,1
"Calidris bairdii","Kansas,South Carolina",0,0,0,0,0,0,1
"Calidris canutus rufa","Florida,Indiana,Maine,Maryland,Michigan,Minnesota,North Carolina,North Dakota,Oklahoma,Pennsylvania,Virginia,Wisconsin",0,0,0,1,0,0,0
"Calidris fuscicollis","Delaware,Florida,Iowa,Kansas,New Jersey,Rhode Island,South Carolina",0,0,0,0,0,0,1
"Calidris himantopus","Arkansas,Florida,Iowa,Kansas,Kentucky,South Carolina,Tennessee,Texas",0,0,0,0,0,0,1
"Calidris melanotos","Alaska,Delaware,Florida,Illinois,Iowa,Kansas,South Carolina",0,0,0,0,0,0,1
"Calidris minutilla","Kansas,Maine,New Jersey,Rhode Island,South Carolina",0,0,0,0,0,0,1
"Calidris pusilla","Alaska,Connecticut,Delaware,Florida,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Minnesota,New Hampshire,New Jersey,New York,North Carolina,Rhode Island,South Carolina,Tennessee",0,0,0,0,0,0,1
"Callipepla squamata","Arizona,Kansas,Oklahoma,Texas",0,0,0,0,0,0,1
"Callitriche hermaphroditica","Nebraska,Vermont",0,0,0,0,0,1,0
"Callitriche palustris","Nebraska",0,0,0,0,0,1,0
"Callophrys affinis homoperplexa","Nebraska",0,0,0,0,0,1,0
"Callophrys comstocki","Colorado",0,0,1,0,0,0,0
"Callophrys fotis","Colorado",0,0,1,0,0,0,0
"Callophrys mcfarlandi","Colorado",0,0,1,0,0,0,0
"Callophrys mossii schryveri","Colorado",0,0,1,0,0,0,0
"Calochortus gunnisonii var. gunnisonii","Nebraska",0,0,0,0,0,1,0
